ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
SKU: 18MB047,Wholesale Men Wholesale Fashion Soft Mid-Rise Cotton Underwears,6,"['White', 'Apricot', 'Black', 'Sapphire', 'Custom Service']","[['US$3.27', '6 pieces'], ['US$2.92', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', '3XL', 'XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051106563393193.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563950830.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563671271.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106564084716.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563212414.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563318378.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563144274.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106564191404.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106564263157.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563747635.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563552130.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051106563831065.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",90g,"Cotton, Spandex"
SKU: 18MB050,Wholesale Men Wholesale Sexy Comfortable Glossy Soft Modal Briefs,6,"['White', 'Grey', 'Sapphire', 'Navy', 'Black', 'Custom Service']","[['US$3.08', '6 pieces'], ['US$2.65', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XXL', 'XL', '3XL', 'M', 'L', 'XL', '3XL', 'XXL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051204525820649.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530183671.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204531261782.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530675492.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530946667.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204531186239.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530885273.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530333812.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204525820649.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530050593.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204525751513.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204531084634.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204530592364.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",70g,Moda
SKU: 18MB051,Wholesale Boy Summer Breathable Assorted Color Soft Cotton Underwears,6,"['Navy', 'Black', 'Wine', 'Red', 'Grey', 'Custom Service']","[['US$3.25', '6 pieces'], ['US$2.91', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', '3XL', 'XXL', 'M', 'L', 'XL', '3XL', 'XXL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051205061362268.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205061148369.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062781059.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062041545.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062450276.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062279599.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062642104.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205061684156.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205061436813.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205061362268.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205061727092.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062383269.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062561626.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205062198967.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",90g,Cotton
SKU: 18MB052,Wholesale Men Wholesale Breathable Military Printed Extended Cotton Sports Boxer Shorts,6,"['Camo Green', 'Camo Khaki', 'Camo Wine']","[['US$5.05', '6 pieces'], ['US$4.41', '7-19 pieces'], ['US$3.77', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018051205172916043.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173170435.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205174356738.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205174191534.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205174253907.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173913395.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205174032297.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173010143.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173587904.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173415893.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173549678.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173218601.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173670856.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173823717.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205173718918.jpg']",100g,Cotton
SKU: 18MB053,Wholesale Men Wholesale Summer Breathable Mid-Rise Soft Pure Cotton Briefs,3,"['Grey', 'White', 'Custom Service']","[['US$2.54', '3 pieces'], ['US$2.39', ' ≥ 4 pieces']]","['M', 'L', 'XL', 'XXL', 'L', 'XXL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051205313383771.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205313527377.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205313510468.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205313818720.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205313789092.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205313413618.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",70g,Cotton
SKU: 18MB054,Wholesale Boy Simple Fashion Pure Soft Wear Resisting Cotton Underwears,4,"['Grey', 'Black', 'Navy', 'Red', 'Lt. Grey', 'White', 'Custom Service']","[['US$3.74', '4 pieces'], ['US$3.26', ' ≥ 5 pieces']]","['M', 'L', 'XL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051205393068443.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393582387.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394272866.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394440444.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394314558.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394588582.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393330176.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393653642.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393210737.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393068443.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393810787.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205393998984.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394111864.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051205394023020.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",90g,Cotton
SKU: 18MB057,Wholesale Men Wholesale Wear Resisting Mid-Rise Extened Striped Sports Underwears,6,"['Blue', 'Black', 'White', 'Yellow']","[['US$4.85', '6 pieces'], ['US$4.22', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'XL', 'XXL', '3XL', 'M', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018051204401526274.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204402044344.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204402190622.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204401536240.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204401457107.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204401666565.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204401911876.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051204401769790.jpg']",100g,Cotton
SKU: 18MB058,Wholesale Man Wholesale Fashionable Extended Soft Glossy Cotton Underwears,6,"['Grey', 'Black', 'Blue', 'Yellow', 'White', 'Custom Service']","[['US$4.43', '6 pieces'], ['US$3.91', ' ≥ 7 pieces']]","['M', 'XL', 'M', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051206302340518.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302252881.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302724869.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302654613.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302450326.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302534329.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302094925.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302816990.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302133020.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206302088673.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",100g,Cotton
SKU: 18MB059,Wholesale Boy New Wholesale Camo Printed Mid-Rise Sexy Soft Cotton Underwears,6,"['Camo Khaki', 'Camo Wine', 'Camo Green']","[['US$4.35', '6 pieces'], ['US$3.78', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018051206382965154.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383690491.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383563991.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383496429.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383936717.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383741680.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206382744500.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383368183.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206382965154.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206383185087.jpg']",90g,Cotton
SKU: 18MB062,Wholesale Men New Wholesale Assorted Color Elastic Cotton Underwears,6,"['Sapphire', 'Black', 'Blue', 'Green', 'Yellow', 'White', 'Custom Service']","[['US$3.33', '6 pieces'], ['US$2.97', ' ≥ 7 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051206460953533.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461365721.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461823406.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461515223.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461734579.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461645264.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461335380.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206460953533.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461218080.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461434572.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051206461179003.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",90g,Cotton
