ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
18MS002,Wholesale Men 3 Pcs Line Printed Notch Neckline Blazers And Vests And Pants,1,"['Blue', 'Grey']","[['US$78.04', '1 set'], ['US$72.59', '2-19 sets'], ['US$67.87', ' ≥ 20 sets']]",S|M|L|3XL|4XL|5XL|S|M|L|XL|XXL|3XL|4XL|5XL,"https://image.fashiontiy.com/200w/products/2019012802183156119.jpg, https://image.fashiontiy.com/200w/products/2019012802183122178.jpg, https://image.fashiontiy.com/200w/products/2019012802183185452.jpg, https://image.fashiontiy.com/200w/products/2019012802183189564.jpg, https://image.fashiontiy.com/200w/products/2019012802183189589.jpg, https://image.fashiontiy.com/200w/products/2019012802182863460.jpg, https://image.fashiontiy.com/200w/products/2019012802183066340.jpg, https://image.fashiontiy.com/200w/products/2019012802182834213.jpg, https://image.fashiontiy.com/200w/products/2019012802182811920.jpg",1760g,Polyester
18MS006,Wholesale Men Plaid Printed Peak Neckline Double Breasted Design 3 Pcs Suits,1,"['Royal Blue', 'Fuchsia', 'Navy Blue', 'D.Grey']","[['US$74.13', '1 set'], ['US$68.94', '2-19 sets'], ['US$64.44', ' ≥ 20 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2019012802293534277.jpg, https://image.fashiontiy.com/200w/products/2019012802293734302.jpg, https://image.fashiontiy.com/200w/products/2019012802293718008.jpg, https://image.fashiontiy.com/200w/products/2019012802293733451.jpg, https://image.fashiontiy.com/200w/products/2019012802293521535.jpg, https://image.fashiontiy.com/200w/products/2019012802293578368.jpg, https://image.fashiontiy.com/200w/products/2019012802294030591.jpg, https://image.fashiontiy.com/200w/products/2019012802293841548.jpg, https://image.fashiontiy.com/200w/products/2019012802293893902.jpg, https://image.fashiontiy.com/200w/products/2019012802293876501.jpg, https://image.fashiontiy.com/200w/products/2019012802293960534.jpg",1760g,Polyester
18MS018,Wholesale Men Plaid Printed Slim Fit Business Formal Blazer 3 Pcs Suits,1,['Royal Blue'],"[['US$78.04', '1 set'], ['US$72.59', '2-19 sets'], ['US$67.87', ' ≥ 20 sets']]",S|M|L|XL|XXL|3XL|4XL|5XL,"https://image.fashiontiy.com/200w/products/2019012802545745255.jpg, https://image.fashiontiy.com/200w/products/2019012802545722204.jpg, https://image.fashiontiy.com/200w/products/2019012802545732970.jpg, https://image.fashiontiy.com/200w/products/2019012802545763538.jpg, https://image.fashiontiy.com/200w/products/2019012802545748317.jpg, https://image.fashiontiy.com/200w/products/2019012802545715987.jpg",1760g,Polyester
18MS035a,Wholesale Men 2 Pcs Color Blocking Sports Hooded Coats And Pants,1,"['Black', 'Grey']","[['US$22.81', '1 set'], ['US$19.36', '2-9 sets'], ['US$18.13', ' ≥ 10 sets']]",S|M|L|XL|XXL|S|M|L|XL|XXL,"https://image.fashiontiy.com/200w/products/2019012907201171406.jpg, https://image.fashiontiy.com/200w/products/2019012907201444860.jpg, https://image.fashiontiy.com/200w/products/2019012907201163084.jpg, https://image.fashiontiy.com/200w/products/2019012907201128474.jpg, https://image.fashiontiy.com/200w/products/2019012907201471099.jpg, https://image.fashiontiy.com/200w/products/2019012907201499720.jpg",960g,Polyester
18MS037a,Wholesale Men 2 Pcs Solid Color Sleeveless Hooded Tops And Pants,1,"['Black', 'Green', 'Grey']","[['US$22.58', '1 set'], ['US$19.26', '2-9 sets'], ['US$17.43', ' ≥ 10 sets']]",S|M|L|XL|XXL|S|M|L|XL|XXL|S|M|L|XL|XXL,"https://image.fashiontiy.com/200w/products/2019012907272847595.jpg, https://image.fashiontiy.com/200w/products/2019012907272856337.jpg, https://image.fashiontiy.com/200w/products/2019012907272833100.jpg, https://image.fashiontiy.com/200w/products/2019012907272835315.jpg, https://image.fashiontiy.com/200w/products/2019012907272894290.jpg, https://image.fashiontiy.com/200w/products/2019012907273246483.jpg, https://image.fashiontiy.com/200w/products/2019012907273170341.jpg, https://image.fashiontiy.com/200w/products/2019012907273139030.jpg, https://image.fashiontiy.com/200w/products/2019012907273140876.jpg, https://image.fashiontiy.com/200w/products/2019012907273142486.jpg",860g,Cotton
18MS038a,Wholesale Men Casual Sports Zipper Jackets And Pants 2 Pcs,1,"['D.Blue', 'Grey', 'Black']","[['US$14.76', '1 set'], ['US$12.42', ' ≥ 2 sets']]",M|L|XL|XXL|3XL|4XL|M|L|XL|XXL|3XL|4XL|M|L|XL|XXL|3XL|4XL,"https://image.fashiontiy.com/200w/products/2019012907303585523.jpg, https://image.fashiontiy.com/200w/products/2019012907303544087.jpg, https://image.fashiontiy.com/200w/products/2019012907303682533.jpg, https://image.fashiontiy.com/200w/products/2019012907303556421.jpg, https://image.fashiontiy.com/200w/products/2019012907312088103.jpg, https://image.fashiontiy.com/200w/products/2019012907312055401.jpg",960g,Polyester
327MT015,Wholesale M-XXL Men Plain Color One-Piece Short Sleeve Overall,1,"['Lt.Grey', 'Olive', 'Lt.Blue', 'Black', 'Custom Service']","[['US$10.69', '1-5 pieces'], ['US$9.69', '6-35 pieces'], ['US$8.49', ' ≥ 36 pieces']]",M|L|XL|XXL|M|L|XL|XXL|M|L|XL|XXL|M|L|XL|XXL|M|L|XL|XXL,"https://image.fashiontiy.com/200w/products/2020060401532344938.jpg, https://image.fashiontiy.com/200w/products/2020060401555851504.jpg, https://image.fashiontiy.com/200w/products/2020060401555831235.jpg, https://image.fashiontiy.com/200w/products/2020060401550057644.jpg, https://image.fashiontiy.com/200w/products/2020060401535213790.jpg, https://image.fashiontiy.com/200w/products/2020111801043287499.jpg",450g,Cotton Blended
327MT016,Wholesale M-3XL Men Slim-Fit Sports Short Sleeve Top Casual Shorts 2pcs/set,1,"['Red', 'Yellow', 'White']","[['US$11.33', '1-5 sets'], ['US$10.33', '6-35 sets'], ['US$9.03', ' ≥ 36 sets']]",M|L|XL|XXL|3XL|M|L|XL|XXL|3XL|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020060402322951452.jpg, https://image.fashiontiy.com/200w/products/2020060402351287122.jpg, https://image.fashiontiy.com/200w/products/2020060402351330084.jpg, https://image.fashiontiy.com/200w/products/2020060402351359418.jpg, https://image.fashiontiy.com/200w/products/2020060402355539653.jpg, https://image.fashiontiy.com/200w/products/2020060402355577435.jpg, https://image.fashiontiy.com/200w/products/2020060402355577133.jpg, https://image.fashiontiy.com/200w/products/2020060402370734364.jpg, https://image.fashiontiy.com/200w/products/2020060402370731509.jpg",450g,Cotton Blended
327MW099,Wholesale S-XL Men Fashion Neon Color 2-pcs Hoodie And Pants Sport Sets,1,"['Green', 'Custom Service']","[['US$10.29', '1-5 sets'], ['US$9.39', '6-35 sets'], ['US$8.49', ' ≥ 36 sets']]",S|M|L|XL|S|M|L|XL,"https://image.fashiontiy.com/200w/products/2020090905505284609.jpg, https://image.fashiontiy.com/200w/products/2020090905504047935.jpg, https://image.fashiontiy.com/200w/products/2020090905503827413.jpg, https://image.fashiontiy.com/200w/products/2020090905503837380.jpg, https://image.fashiontiy.com/200w/products/2020090905504179566.jpg, https://image.fashiontiy.com/200w/products/2020090905504191554.jpg, https://image.fashiontiy.com/200w/products/2020111701012551152.jpg",700g,Polyester
327MW102,Wholesale S-XXL Men Fashion Color Blocking 2-pcs Zipper Sport Sets,2,"['Blue', 'Grey', 'Black', 'Custom Service']","[['US$13.99', '2-4 sets'], ['US$13.39', '5-29 sets'], ['US$12.39', ' ≥ 30 sets']]",S|M|L|XL|XXL|S|M|L|XL|XXL|S|M|L|XL|XXL|S|M|L|XL|XXL,"https://image.fashiontiy.com/200w/products/2020090906214138454.jpg, https://image.fashiontiy.com/200w/products/2020090906214196907.jpg, https://image.fashiontiy.com/200w/products/2020090906213988266.jpg, https://image.fashiontiy.com/200w/products/2020090906213980775.jpg, https://image.fashiontiy.com/200w/products/2020090906214159965.jpg, https://image.fashiontiy.com/200w/products/2020090906214171207.jpg, https://image.fashiontiy.com/200w/products/2020090906213919971.jpg, https://image.fashiontiy.com/200w/products/2020090906214097143.jpg, https://image.fashiontiy.com/200w/products/2020090906214254102.jpg, https://image.fashiontiy.com/200w/products/2020090906213938033.jpg, https://image.fashiontiy.com/200w/products/2020090906214382103.jpg, https://image.fashiontiy.com/200w/products/2020090906214165758.jpg, https://image.fashiontiy.com/200w/products/2020111701012551152.jpg",1300g,Polyester
327MW118,Wholesale S-3XL Men Casual Block Color Striped Sweatshirt And Pants Set,1,"['Black', 'Yellow', 'Grey', 'White', 'Red', 'Custom Service']","[['US$9.38', '1-5 sets'], ['US$8.42', '6-35 sets'], ['US$7.67', ' ≥ 36 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020091603251155556.jpg, https://image.fashiontiy.com/200w/products/2020091603251134148.jpg, https://image.fashiontiy.com/200w/products/2020091603251184988.jpg, https://image.fashiontiy.com/200w/products/2020091603251442355.jpg, https://image.fashiontiy.com/200w/products/2020091603251130980.jpg, https://image.fashiontiy.com/200w/products/2020091603251494642.jpg, https://image.fashiontiy.com/200w/products/2020091603251220062.jpg, https://image.fashiontiy.com/200w/products/2020091603251163690.jpg, https://image.fashiontiy.com/200w/products/2020111701012551152.jpg",1080g,Cotton Blended
327MW119,Wholesale S-3XL Men Casual Printed Loose Hoodies And Sweatpants Set,1,"['Black', 'Pink+D.Grey', 'Blue+D.grey', 'Red+D.Grey', 'D.Grey', 'Pink+Grey', 'Grey', 'Blue+Grey', 'Red+Grey', 'Grey+Black', 'Pink+Black', 'D.Grey+Black', 'Blue+Black', 'Red+Black', 'Custom Service']","[['US$11.98', '1-5 sets'], ['US$10.99', '6-35 sets'], ['US$9.89', ' ≥ 36 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020091604390594412.jpg, https://image.fashiontiy.com/200w/products/2020091604385957715.jpg, https://image.fashiontiy.com/200w/products/2020091604385963819.jpg, https://image.fashiontiy.com/200w/products/2020091604385917160.jpg, https://image.fashiontiy.com/200w/products/2020091604385923789.jpg, https://image.fashiontiy.com/200w/products/2020091604390397662.jpg, https://image.fashiontiy.com/200w/products/2020091604390345048.jpg, https://image.fashiontiy.com/200w/products/2020091604390682984.jpg, https://image.fashiontiy.com/200w/products/2020091604390430373.jpg, https://image.fashiontiy.com/200w/products/2020091604390464568.jpg, https://image.fashiontiy.com/200w/products/2020091604390596495.jpg, https://image.fashiontiy.com/200w/products/2020091604390312449.jpg, https://image.fashiontiy.com/200w/products/2020091604390483016.jpg, https://image.fashiontiy.com/200w/products/2020091604390220371.jpg, https://image.fashiontiy.com/200w/products/2020091604390290177.jpg, https://image.fashiontiy.com/200w/products/2020091604390550949.jpg, https://image.fashiontiy.com/200w/products/2020091604390463181.jpg, https://image.fashiontiy.com/200w/products/2020091604390366544.jpg, https://image.fashiontiy.com/200w/products/2020112601210240545.jpg",1270g,Cotton Blended
327MW121,Wholesale S-3XL Men Casual Solid Color Hoodies And Pants Set,1,"['Black', 'D.Grey', 'Pink', 'Grey', 'Blue', 'Red', 'Custom Service']","[['US$9.38', '1-5 sets'], ['US$8.54', '6-35 sets'], ['US$7.75', ' ≥ 36 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020091604594012915.jpg, https://image.fashiontiy.com/200w/products/2020091604594230349.jpg, https://image.fashiontiy.com/200w/products/2020091604594099586.jpg, https://image.fashiontiy.com/200w/products/2020091604594062718.jpg, https://image.fashiontiy.com/200w/products/2020091604594090055.jpg, https://image.fashiontiy.com/200w/products/2020091604593916686.jpg, https://image.fashiontiy.com/200w/products/2020091604593810151.jpg, https://image.fashiontiy.com/200w/products/2020091604593825641.jpg, https://image.fashiontiy.com/200w/products/2020091604593856129.jpg, https://image.fashiontiy.com/200w/products/2020091604593831845.jpg, https://image.fashiontiy.com/200w/products/2020091604593877605.jpg, https://image.fashiontiy.com/200w/products/2020111701012551152.jpg",930g,Cotton Blended
327MW129,Wholesale S-3xl Men Casual Color Blocking Hoodies And Pants Two Piece Set,1,"['Red', 'Grey', 'Black', 'Yellow', 'White', 'Custom Service']","[['US$9.21', '1-5 sets'], ['US$8.28', '6-35 sets'], ['US$7.61', ' ≥ 36 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020092304411181230.jpg, https://image.fashiontiy.com/200w/products/2020112307240753755.JPG, https://image.fashiontiy.com/200w/products/2020092304411174706.jpg, https://image.fashiontiy.com/200w/products/2020092304411128901.jpg, https://image.fashiontiy.com/200w/products/2020092304411132200.jpg, https://image.fashiontiy.com/200w/products/2020092304411244867.jpg, https://image.fashiontiy.com/200w/products/2020112601093414868.jpg",1400g,Cotton Blended
