ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
SKU: 18MP047,Wholesale Men's Sports Fitness Tight Bodybuilding Block Color Hoodies,1,"['Grey', 'Red', 'Blue']","[['US$17.71', '1-4 pieces'], ['US$14.37', ' ≥ 5 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051606235064009.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235354184.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235123658.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235281195.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235615499.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235497857.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235595901.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235849957.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235742882.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235769791.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051606235968403.jpg']",510g,Cotton
SKU: 18MP051,Wholesale Men's Luxury Brand Sportsuits Fashion Joggling Fitness Hoodies,1,"['Red', 'Black']","[['US$17.96', '1-4 pieces'], ['US$13.88', ' ≥ 5 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051607155689956.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155457075.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155138352.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155222368.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155325519.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155689956.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607155550370.jpg']",510g,Cotton
SKU: 18MP052,Wholesale New Arrival Running Gym Fitness Bodybuilding Workout Hoodies,1,['Black'],"[['US$19.36', '1-2 pieces'], ['US$16.73', '3-19 pieces'], ['US$15.92', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051607254342301.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607254274593.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607254868582.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607254635322.jpg']",560g,Cotton
SKU: 18MP053,Wholesale Fashion Men's Brand Top Quality Casual Exercise Gym Hoodies,1,"['Black', 'White', 'Grey']","[['US$17.71', '1-2 pieces'], ['US$15.27', '3-19 pieces'], ['US$14.51', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051607351157367.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350391294.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350534691.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350689596.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350786483.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351286105.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351373572.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351417169.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351577922.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351157367.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607351021183.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350949212.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051607350855960.jpg']",510g,Polyester
SKU: 18MP055,Wholesale Long Sleeve Sports Fitness Gym Cotton Hoodies for Men,1,"['Lt.Grey', 'Grey']","[['US$19.36', '1-2 pieces'], ['US$16.73', '3-19 pieces'], ['US$15.92', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051608321154253.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608320925164.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608321158897.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608320781950.jpg']",510g,Cotton
SKU: 18MP056,Wholesale Men's Gym Fitness Sports Workout Pullover Hoodies,1,"['Grey', 'Black']","[['US$19.36', '1-2 pieces'], ['US$14.45', '3-19 pieces'], ['US$13.72', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051608454583652.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608454592347.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608454397264.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608454617900.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608454736370.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051608454899919.jpg']",410g,Cotton
SKU: 18MP060,Wholesale Sport Running Men Leisure Zipper Fitness Jogging Hoodies,1,"['Black', 'Red']","[['US$19.36', '1-2 pieces'], ['US$16.73', '3-19 pieces'], ['US$15.92', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051701073577202.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073344421.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073216029.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073434247.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073652307.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073836193.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701073980899.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701074077978.jpg']",510g,Cotton
SKU: 18MP061,Wholesale Men's New Fashion Gyms Hoodies Loose Coat Fitness Casual Drawstring jacket,1,"['Red', 'Black']","[['US$18.37', '1-4 pieces'], ['US$14.37', ' ≥ 5 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051701440076284.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440491559.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440221460.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440198954.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440716425.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440653834.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051701440527503.jpg']",510g,Cotton
SKU: 18MP165,Wholesale Men's Tight Slimming Body Shaper Sports Thin Tank Tops,1,"['Black', 'White', 'Custom Service']","[['US$6.11', '1-2 pieces'], ['US$4.97', ' ≥ 3 pieces']]","['S', 'M', 'L', 'XL', 'S', 'M', 'L', 'XL', 'S', 'M', 'L', 'XL']","['https://image.fashiontiy.com/200w/product_apparel/2018053102452428917.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102452036036.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451837665.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451969360.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451038059.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451118565.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102452379100.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451576833.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451463147.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451787248.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451223720.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102451319963.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",250g,Chinlon
SKU: 18MP168,Wholesale Men's Body Shaper Steel Bone Slimming Thin Belt Waist Trainer,1,"['Black', 'Beige', 'Custom Service']","[['US$5.99', '1-2 pieces'], ['US$4.87', ' ≥ 3 pieces']]","['S', 'M', 'L', 'XL', 'XXL', '3XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018053102274753681.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274067217.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102273962871.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274492464.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274192403.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274366812.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274213350.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018053102274697667.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",220g,Chinlon
