ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
SKU: 18MT020,Wholesale Man's New Style Solid Color Simple Polyester Tank Tops,1,"['White', 'Red', 'Grey', 'Black', 'Custom Service']","[['US$3.73', '1-4 pieces'], ['US$2.68', ' ≥ 5 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018061100501323354.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100501550960.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100501433776.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100501639611.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100524876388.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100521360598.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100521524031.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100521484299.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100512763862.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100512818804.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061100512882556.jpg', 'https://image.fashiontiy.com/200w/products/2020111303194210875.jpg']",160g,Polyester
SKU: 18MT021,Wholesale Man's New Style Solid Color Simple Cotton Tank Tops,1,"['Black', 'Grey', 'White', 'Custom Service']","[['US$1.94', '1-4 pieces'], ['US$1.12', ' ≥ 5 pieces']]","['L', 'XL', 'XXL', '3XL', 'L', 'XL', 'XXL', '3XL', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018061105361751602.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105361827046.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105345192107.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105345396306.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105345334131.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105334373105.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105334746992.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105334496800.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105334675971.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061105334522427.jpg', 'https://image.fashiontiy.com/200w/products/2020111303194210875.jpg']",110g,Cotton
SKU: 18MT043,Wholesale Man's New Arrival Royal Stripes 3D Printed Polyester T-shirt,2,['As Picture'],"[['US$10.26', '2 pieces'], ['US$8.73', '3-29 pieces'], ['US$7.61', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018061302162850414.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302163217971.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302163158461.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302163051222.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302162941661.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302162937196.jpg']",220g,Polyester
SKU: 18MT044,Wholesale Man's New Arrival Court Style 3D Printed Comfortable T-shirt,2,['As Picture'],"[['US$10.26', '2 pieces'], ['US$8.73', '3-29 pieces'], ['US$7.61', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018061302211787582.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302212071242.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302211991446.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302212153076.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302212048418.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302211878677.jpg']",220g,Polyester
SKU: 18MT048,Wholesale Man's New Arrival Flowers 3D Printed Leisure Polyester T-shirt,2,['As Picture'],"[['US$10.26', '2 pieces'], ['US$8.73', '3-29 pieces'], ['US$7.61', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018061302401614771.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302402370722.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302402224946.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302402093117.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302401844041.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061302401778697.jpg']",220g,Polyester
SKU: 18MT061,Wholesale Man's New Arrival Branches Printed Leisure Unique Short Sleeves Shirt,2,['As Picture'],"[['US$14.34', '2 pieces'], ['US$12.29', '3-29 pieces'], ['US$10.81', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018061307291756040.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307292178552.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307292027483.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307291948812.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307291840969.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307291714377.jpg']",260g,Polyester
SKU: 18MT062,Wholesale Man's New Arrival Splashing Ink Effect Printed Polyester Short Sleeves Shirt,2,['As Picture'],"[['US$14.34', '2 pieces'], ['US$12.29', '3-29 pieces'], ['US$10.81', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018061307345664581.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307345798995.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307345748785.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307345938975.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307345912906.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307345869713.jpg']",260g,Polyester
SKU: 18MT063,Wholesale Man's New Arrival Ethnic Style Printed Polyester Short Sleeves Shirt,2,"['White', 'Black', 'Red']","[['US$14.34', '2 pieces'], ['US$12.29', '3-29 pieces'], ['US$10.81', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018061307454251530.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307454589145.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307454443441.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307454388820.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307454254848.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307472694530.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307472836009.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307472748085.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307464137176.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307464253259.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307464120155.jpg']",260g,Polyester
SKU: 18MT064,Wholesale Man's New Arrival Court Style Printed Top Grade Short Sleeves Shirt,2,['As Picture'],"[['US$14.34', '2 pieces'], ['US$12.29', '3-29 pieces'], ['US$10.81', ' ≥ 30 pieces']]","['M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/product_apparel/2018061307532014351.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307532564721.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307532421565.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307532324794.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307532160904.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018061307532170706.jpg']",260g,Polyester
SKU: 18MT090,Wholesale Men Fashion Lapel Short Sleeve Business Dress Viscose Shirt,1,"['Purple', 'Grey', 'Blue', 'Custom Service']","[['US$18.37', '1-2 pieces'], ['US$15.48', '3-19 pieces'], ['US$12.17', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XXL', '3XL', 'XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/product_apparel/2018051609070686344.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609071045805.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070998798.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609071237731.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609071156565.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070414039.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070352773.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070418124.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070710592.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070686344.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070739514.jpg', 'https://image.fashiontiy.com/200w/product_apparel/2018051609070863296.jpg', 'https://image.fashiontiy.com/200w/products/2020111801043287499.jpg']",260g,Viscose
