scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/carlton-dry-bottle-330ml_473583,473583,9.32E+12,Carlton,Dry Bottle 330mL,50,Pack (24),2,94,,TRUE,4.4,10,Dry,Dry,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/corona-bottle-355ml_54492,54492,7.50106E+12,Corona,Bottle 355mL,57,Pack (24),,,58,TRUE,5,5,Lager,Lager,Bottle,1.3,4.50%,No,Mexico
10/8/2021,https://www.liquorland.com.au/beer/xxxx-gold-block-can-375ml_6577554,6577554,9.31088E+12,XXXX,Gold Block Can 375mL,49,Pack (30),,,,TRUE,4.7,14,Mid Strength,Mid Strength,Can,1.1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/great-northern-super-crisp-lager-block-can-375ml_2605953,2605953,9.32E+12,Great Northern,Super Crisp Lager Block Can 375mL,57,Pack (30),,,,TRUE,4.8,10,,,Can,1.1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/tooheys-new-block-can-375ml_6577678,6577678,9.31189E+12,Tooheys,New Block Can 375mL,56,Pack (30),,,,TRUE,4.7,6,Draught,Draught,Can,1.4,4.60%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/victoria-bitter-bottle-375ml_10078,10078,9.32E+12,Victoria Bitter,Bottle 375mL,51,Pack (24),,,,TRUE,4,5,Bitter,bitter,Bottle,1.5,4.90%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/pure-blonde-bottle-355ml_4296791,4296791,9.32E+12,Pure Blonde,Bottle 355mL,48,Pack (24),,,,TRUE,5,4,Lager,Blonde,Bottle,1.2,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/asahi-super-dry-bottle-330ml_21944,21944,9.32998E+12,Asahi,Super Dry Bottle 330mL,52,Pack (24),,,45,TRUE,4.3,7,Dry,Dry,Bottle,1.4,5.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/great-northern-super-crisp-lager-bottle-330ml_2374180,2374180,9.32E+12,Great Northern,Super Crisp Lager Bottle 330mL,48,Pack (24),,,,TRUE,4.4,5,,,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/great-northern-original-lager-bottle-330ml_7973910,7973910,9.32E+12,Great Northern,Original Lager Bottle 330mL,49,Pack (24),,,53,TRUE,3,3,Lager,Lager,Bottle,1.1,4.20%,No,Australia
