Modification,Chassis ID,Engine,Drive
SUPER SELECTION,"E-,A101S",HD-E,FF
SUPER SELECTION,"E-,A101S",HD-E,FF
LIMITED,"E-,A101S",HD-E,FF
LIMITED,"E-,A101S",HD-E,FF
16RI,"E-,A101S",HD-E,FF
16RI,"E-,A101S",HD-E,FF
16SI,"E-,A101S",HD-E,FF
16SI,"E-,A101S",HD-E,FF
16L,"E-,A101S",HD-F,FF
16L,"E-,A101S",HD-F,FF
16ZI,"E-,A111S",HD-E,Full-time 4WD
L,"DBA-,LA550S",KF,FF
L SA III,"DBA-,LA550S",KF,FF
L,"DBA-,LA560S",KF,Full-time 4WD
X SA III,"DBA-,LA550S",KF,FF
L SA III,"DBA-,LA560S",KF,Full-time 4WD
G SA III,"DBA-,LA550S",KF,FF
X SA III,"DBA-,LA560S",KF,Full-time 4WD
G SA III,"DBA-,LA560S",KF,Full-time 4WD
X SPORTY,"CBA-,S221G",K3-VE,FR
X,"CBA-,S221G",K3-VE,FR
X,"CBA-,S221G",K3-VE,FR
L LIMITED,"CBA-,S221G",K3-VE,FR
L LIMITED,"CBA-,S221G",K3-VE,FR
L,"CBA-,S221G",K3-VE,FR
L,"CBA-,S221G",K3-VE,FR
X SPORTY,"ABA-,S231G",K3-VE,Full-time 4WD
X,"ABA-,S231G",K3-VE,Full-time 4WD
X,"ABA-,S231G",K3-VE,Full-time 4WD
L LIMITED,"ABA-,S231G",K3-VE,Full-time 4WD
L LIMITED,"ABA-,S231G",K3-VE,Full-time 4WD
L,"ABA-,S231G",K3-VE,Full-time 4WD
L,"ABA-,S231G",K3-VE,Full-time 4WD
X SPORTY,"UA-,S221G",K3-VE,FR
X,"UA-,S221G",K3-VE,FR
X,"UA-,S221G",K3-VE,FR
L LIMITED,"UA-,S221G",K3-VE,FR
L LIMITED,"UA-,S221G",K3-VE,FR
L,"UA-,S221G",K3-VE,FR
L,"UA-,S221G",K3-VE,FR
X SPORTY,"LA-,S231G",K3-VE,Full-time 4WD
X,"LA-,S231G",K3-VE,Full-time 4WD
X,"LA-,S231G",K3-VE,Full-time 4WD
L LIMITED,"LA-,S231G",K3-VE,Full-time 4WD
L LIMITED,"LA-,S231G",K3-VE,Full-time 4WD
L,"LA-,S231G",K3-VE,Full-time 4WD
L,"LA-,S231G",K3-VE,Full-time 4WD
CX SPORTY,"TA-,S221G",K3-VE,FR
CL S EDITION,"TA-,S221G",K3-VE,FR
CL S EDITION,"TA-,S221G",K3-VE,FR
