name,Modification,Chassis ID,Engine,Drive
APPLAUSE,SX,"GF-,A101S",HD-E,FF
APPLAUSE,SL,"GF-,A101S",HD-E,FF
APPLAUSE,SX,"E-,A101S",HD-E,FF
APPLAUSE,SL,"E-,A101S",HD-E,FF
APPLAUSE,SX LIMITED,"E-,A101S",HD-E,FF
APPLAUSE,LIMITED,"E-,A101S",HD-E,FF
APPLAUSE,LIMITED,"E-,A101S",HD-E,FF
APPLAUSE,16XI,"E-,A101S",HD-E,FF
APPLAUSE,16XI,"E-,A101S",HD-E,FF
APPLAUSE,16LI,"E-,A101S",HD-E,FF
APPLAUSE,16LI,"E-,A101S",HD-E,FF
APPLAUSE,LIMITED,"E-,A101S",HD-E,FF
APPLAUSE,LIMITED,"E-,A101S",HD-E,FF
APPLAUSE,16RI,"E-,A101S",HD-E,FF
APPLAUSE,16RI,"E-,A101S",HD-E,FF
APPLAUSE,16SI,"E-,A101S",HD-E,FF
APPLAUSE,16SI,"E-,A101S",HD-E,FF
APPLAUSE,16LI,"E-,A101S",HD-E,FF
APPLAUSE,16LI,"E-,A101S",HD-E,FF
APPLAUSE,16ZI,"E-,A111S",HD-E,Full-time 4WD
APPLAUSE,QR-90,"E-,A101S",HD-E,FF
APPLAUSE,QR-90,"E-,A101S",HD-E,FF
APPLAUSE,16L,"E-,A101S",HD-F,FF
APPLAUSE,16L,"E-,A101S",HD-F,FF
APPLAUSE,16X,"E-,A101S",HD-F,FF
APPLAUSE,16X,"E-,A101S",HD-F,FF
APPLAUSE,16RI,"E-,A101S",HD-E,FF
APPLAUSE,16RI,"E-,A101S",HD-E,FF
APPLAUSE,16ZI,"E-,A111S",HD-E,Full-time 4WD
ATRAI,CL,"GD-,S220V",EF-VE,FR
ATRAI,CL,"GD-,S220V",EF-VE,FR
ATRAI,CL,"GD-,S230V",EF-VE,Full-time 4WD
ATRAI,CL,"GD-,S230V",EF-VE,Full-time 4WD
ATRAI,CUSTOM TURBO,"GD-,S220V",EF-DET,FR
ATRAI,CUSTOM TURBO,"GD-,S220V",EF-DET,FR
ATRAI,CUSTOM TURBO,"GD-,S230V",EF-DET,Full-time 4WD
ATRAI,CUSTOM TURBO,"GD-,S230V",EF-DET,Full-time 4WD
ATRAI,CUSTOM,"GD-,S220V",EF-VE,FR
ATRAI,CUSTOM,"GD-,S220V",EF-VE,FR
