name,Modification,Chassis ID,Engine,Drive
SUZUKI ,HYBRID MZ,"DAA-,MN71S",K10C,FF
SUZUKI ,HYBRID MZ,"DAA-,MN71S",K10C,Full-time 4WD
SUZUKI ,HYBRID MX,"DAA-,MN71S",K10C,FF
SUZUKI ,HYBRID MX,"DAA-,MN71S",K10C,FF
SUZUKI ,HYBRID MX,"DAA-,MN71S",K10C,Full-time 4WD
SUZUKI ,HYBRID MZ,"DAA-,MN71S",K10C,FF
SUZUKI ,HYBRID MX,"DAA-,MN71S",K10C,Full-time 4WD
SUZUKI ,HYBRID MZ,"DAA-,MN71S",K10C,Full-time 4WD
SUZUKI ,BASEGRADE,"E-,LB11S",G16A,Part-time 4WD
SUZUKI ,BASEGRADE,"E-,LB11S",G16A,Part-time 4WD
SUZUKI ,BASEGRADE,"E-,LB11S",G16A,Part-time 4WD
SUZUKI ,BASEGRADE,"E-,LB11S",G16A,Part-time 4WD
SUZUKI ,XL LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XL LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XL LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XZ LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XZ LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XR,"E-,MA61S",K10A,FF
SUZUKI ,XZ,"E-,MA61S",K10A,FF
SUZUKI ,XM,"E-,MA61S",K10A,FF
SUZUKI ,XL,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL,"E-,MA61S",K10A,FF
SUZUKI ,XL,"E-,MA61S",K10A,FF
SUZUKI ,XE,"E-,MA61S",K10A,FF
SUZUKI ,XM,"E-,MA61S",K10A,FF
SUZUKI ,XZ,"E-,MA61S",K10A,FF
SUZUKI ,XZ,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XR,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XR,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XR,"E-,MA61S",K10A,FF
SUZUKI ,SPECIAL,"E-,MA61S",K10A,FF
SUZUKI ,SPECIAL,"E-,MA61S",K10A,FF
SUZUKI ,XZ LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XZ LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XZ LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XL LIMITED,"E-,MA61S",K10A,FF
SUZUKI ,XL LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL LIMITED,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XL,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ,"E-,MA61S",K10A,FF
SUZUKI ,XE,"E-,MA61S",K10A,FF
LEXUS ,add,"6AA-,MZAH10",M20A-FXS,FF
LEXUS ,VERSION C,"6AA-,MZAH10",M20A-FXS,FF
LEXUS ,add,"6AA-,MZAH15",M20A-FXS,Full-time 4WD
LEXUS ,VERSION C,"6AA-,MZAH15",M20A-FXS,Full-time 4WD
LEXUS ,F SPORT,"6AA-,MZAH10",M20A-FXS,FF
SUZUKI ,XM,"E-,MA61S",K10A,FF
SUZUKI ,XM,"E-,MA61S",K10A,FF
SUZUKI ,XL,"E-,MA61S",K10A,FF
SUZUKI ,XL,"E-,MA61S",K10A,FF
SUZUKI ,XL,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ,"E-,MB61S",K10A,Full-time 4WD
SUZUKI ,XZ,"E-,MA61S",K10A,FF
LEXUS ,F SPORT,"6AA-,MZAH15",M20A-FXS,Full-time 4WD
LEXUS ,VERSION L,"6AA-,MZAH10",M20A-FXS,FF
