Modification,Chassis ID,Engine,Drive
G,"DAA-,AXVH70N",A25A-FXS,FF
G,"DAA-,AXVH70N",A25A-FXS,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
HYBRID G PACKAGE,"DAA-,AVV50N",2AR-FXE,FF
G LIMITED EDITION,"DBA-,ACV40N",2AZ-FE,FF
G FOUR LIMITED EDITION,"DBA-,ACV45N",2AZ-FE,Full-time 4WD
G LIMITED EDITION,"DBA-,ACV40N",2AZ-FE,FF
G LIMITED EDITION FOUR,"DBA-,ACV45N",2AZ-FE,Full-time 4WD
G LIMITED EDITION,"DBA-,ACV40N",2AZ-FE,FF
G FOUR LIMITED EDITION,"DBA-,ACV45N",2AZ-FE,Full-time 4WD
SX PACKAGE,"CBA-,ACV30N",2AZ-FE,FF
SX PACKAGE,"CBA-,ACV35N",2AZ-FE,Full-time 4WD
SL,"CBA-,ACV30N",2AZ-FE,FF
SL,"CBA-,ACV35N",2AZ-FE,Full-time 4WD
SX PACKAGE,"CBA-,ACV30N",2AZ-FE,FF
SL,"CBA-,ACV30N",2AZ-FE,FF
SX PACKAGE,"CBA-,ACV35N",2AZ-FE,Full-time 4WD
SL,"CBA-,ACV35N",2AZ-FE,Full-time 4WD
SX PACKAGE,"UA-,ACV30N",2AZ-FE,FF
SL,"UA-,ACV30N",2AZ-FE,FF
SX PACKAGE,"UA-,ACV35N",2AZ-FE,Full-time 4WD
SL,"UA-,ACV35N",2AZ-FE,Full-time 4WD
2.2 SX PACKAGE,"GF-,SXV20N",5S-FE,FF
2.2 SL PACKAGE,"GF-,SXV20N",5S-FE,FF
2.2 FOUR SX PACKAGE,"GF-,SXV25N",5S-FE,Full-time 4WD
2.2 FOUR SL PACKAGE,"GF-,SXV25N",5S-FE,Full-time 4WD
