title,Catagory,Account_type/Product_Type,Content,prdouct type,stock,regular_price,sale_price,Wrranty Period,Wrranty type,product_url,images_url,product_catagory,Store_url/dropship_supplier,Rating out of 5,Rating,Sold
[BUY1FREE2] MICROSOFT OFFICE PRO PLUS 2019 2016 2013 2010 GENUINE [WIN ONLY] a,VERSION,"OFFICE 2016,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019",- Buy [BUY1FREE2] MICROSOFT OFFICE PRO PLUS 2019 2016 2013 2010 GENUINE [WIN ONLY] a,Software,"98927 piece available,100721 piece available,99945 piece available,99950 piece available,99974 piece available,99994 piece available,99984 piece available,99996 piece available,99545 piece available","RM6.00,RM6.00,RM5.00,RM5.00,RM4.00,RM4.00,RM4.00,RM4.00,RM1.00",,OEM,Lifetime Warranty,https://shopee.com.my/-BUY1FREE2-MICROSOFT-OFFICE-PRO-PLUS-2019-2016-2013-2010-GENUINE-WIN-ONLY-a-i.314562213.4681023857,https://cf.shopee.com.my/file/6d86a7d8de83a3583e9b2b455603e7b4_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/sell2ware?categoryId=174&itemId=4681023857,5,708,6.3k
[🔥UNLIMITED DATA🔥] & HOTSPOT -MAXIS -UMOBILE -DIGI -VPN -DATA - UNLIMITEDD,HARI,"15,3,3,3","Anda selalu kehabisan data internet? Unlimited data tapi speed capped dan FUP 50GB seperti Maxis? Jom dapatkan servis kami ✅ Data confirm 100% unlimited ✅Tanpa perlu melanggan internet dari telco anda ✅ Unlimited hotspot untuk android ✅ Support mobile gaming ( ml dan pubg ) ✅ Ping rendah ✅ Server singapore @ Server Malaysia ===================================== SUPPORT SIM POSTPAID/PREPAID Digi ( Android, Ios, Modem mod only ) (no trial) (RM20 30 HARI) 🏍️ Support semua simkad digi 🏍️ Support android ============================================================================ Maxis ( Android, Ios, Modem mod only ) 🏍️ Support semua simkad maxis prepaid 🏍️ Bypass speed 3mbps dan 6mbps bagi yang melanggan plan unlimited Rm35/45 kepada highspeed 🏍️ Tahulah anda bahawa plan unlimited maxis mempunyai FUP 50Gb dan apabila memcapai FUP, internet anda akan diperlahankan. Menggunakan service kami akan menjadikan internet anda menjadi laju semua walaupun telah mecapai FUP. 🏍️ Internet laju tanpa perlu melanggan internet 🏍️ Simkad expired masih boleh berunlimited internet ============================================================================ Umobile ( Android SHJ) 🏍️ Support semua simkad umobile prepaid 🏍️ Bypass speed 3mbps dan 6mbps langgan Rm30/35 kepada highspeed internet 🏍️ Bagi yang tidak melanggan sebarang internet, anda masih boleh menggunakan highpeed interned 🏍️ Simkad expired masih boleh berunlimited internet ============================================================================ # DIGI SAHAJA NO TRIAL RM20 30 HARI - Buy [🔥UNLIMITED DATA🔥] & HOTSPOT -MAXIS -UMOBILE -DIGI -VPN -DATA - UNLIMITEDD",Software,"4892 piece available,4912 piece available,4773 piece available,4984 piece available","RM4.00,RM10.00,RM20.00,RM6.00",,No Warranty,No Warranty,https://shopee.com.my/-%F0%9F%94%A5UNLIMITED-DATA%F0%9F%94%A5-HOTSPOT-MAXIS-UMOBILE-DIGI-VPN-DATA-UNLIMITEDD-i.19952681.5657617540,https://cf.shopee.com.my/file/e09fd8a4966a728269ecaf5428634d25_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/techacademy?categoryId=174&itemId=5657617540,4.8,360,629
"[FAST DELIVERY]⚡Envato Elements Download Service Within 12 Hours⚡ - designer, freelancer, web developer, mockup",,,"⚡We will deliver the files within 6 hours. Choose from over 1.8 Millions of digital assets for ⚡ Graphic ⚡ Photo ⚡ Audio ⚡ Presentation ⚡ Video ⚡ Wordpress ⚡ Font ⚡ and many more... How to Order? 1 Browse this website https://elements.envato.com/ 2 Choose your desired files 3 Copy the link and send it to me via Shopee Chat 4 We download it and give it to you via chat/email [⚡Lowest Price Guarantee] - Buy [FAST DELIVERY]⚡Envato Elements Download Service Within 12 Hours⚡ - designer, freelancer, web developer, mockup",Software,10% off,RM0.45,RM0.50,OEM,Lifetime Warranty,https://shopee.com.my/-FAST-DELIVERY-%E2%9A%A1Envato-Elements-Download-Service-Within-12-Hours%E2%9A%A1-designer-freelancer-web-developer-mockup-i.257496768.5132751506,https://cf.shopee.com.my/file/e07bff1f3d589f2dcdf31d9b9d3ea928_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/finitydigital.os?categoryId=174&itemId=5132751506,5,273,
[Latest] Adobe CC 2021 Full Version Lifetime Activation [ Windows / Mac ],"Full Master Pack,Photoshop 2021,Illustrator 2021,Lightroom 2021,Premiere Pro 2021,After Effects 2021,Acrobat Pro 2021,InDesign 2021,Choose one Adobe","Windows,Mac,Windows,Mac,Windows,Mac,Windows,Mac,Windows,Mac","❓❓❓❓ Why Choose Ez Photo ❓❓❓❓ 💯 100% Working guaranteed or full refund 🕔 Lifetime Activation Installer 🔧 After Sales service team patience supports until successfully work ⚙️ Ez Easy Installation ⏳ Can download one by one - Save Space Save Time 🎁 Multiple Free Gift - Premium Mobile App, Editing Tutorial Videos, Magazines (For full pack only) 📌 Windows 10 Only or Mac 10.14 later, Big Sur =========================================================================================== ✔ Free to claim for future Update ✔ Updated to the latest Version - Bug Fixes and New Features ✔ Multi-language version ✔ No Monthly Subscription Fees ✔ Same Function with Box version ✔ Multiple User PC ✔ Safe and Virus Free by tested before sales ✔ Detailed installation guide provided ✔ Compatible with Windows 10- 64 bit Only ✔ Compatible with Mac OS 10.14 or later ✔ Compatible with Mac OS Big Sur 📧 For Shipping: Just leave your email in the chat or remark and we will send you the installation files through EMAIL once we have received the payment from you. 📌 Full Pack Master Collection CC 2021 include: Acrobat Pro DC 2021 Animate CC 2021 Illustrator CC 2021 Bridge CC 2021 Dreamweaver CC 2021 Audition CC 2021 Photoshop CC 2021 Prelude CC 2021 Lightroom Classic CC 2021 Media Encoder CC 2021 After Effects CC 2021 Character Animate CC 2021 Premiere Pro CC 2021 Premiere Rush CC 2021 InCopy CC 2021 InDesign CC 2021 Dimension CC 2021 Xperience Design CC 2021 Lightroom Mobile CC 2021 (For Android) Usage: Photo Editing, Graphic Design, Video Editing, Web development, Animation ============================================================================================== 💻 System Requirements For Adobe Master Collection 2021 Operating System: Windows 10 Or Mac OS 10.14 or later Memory (RAM): 4 GB of RAM required. Hard Disk Space: At least 30 GB of free space required Graphic: * 1024 × 768 display (1280 × 800 recommended) with OpenGL® 2.016-bit color 3D features are disabled with less than 512MB of VRAM - Buy [Latest] Adobe CC 2021 Full Version Lifetime Activation [ Windows / Mac ]",Software,"572 piece available,341 piece available,528 piece available,480 piece available,355 piece available,421 piece available,530 piece available,424 piece available,425 piece available,571 piece available","RM45.50,RM45.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50","RM100.00,RM100.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00",OEM,No Warranty,https://shopee.com.my/-Latest-Adobe-CC-2021-Full-Version-Lifetime-Activation-Windows-Mac--i.93512146.9615547611,https://cf.shopee.com.my/file/10d150a671ce38b97bcc3889d673a989_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/ezphoto?categoryId=174&itemId=9615547611,5,27,69
[LIFETIME] IFLIX Premium VIP Account - Auto Renew Subscription,,,"📢 📢📢 READY STOCK ✨ IFLIX VIP account LIFETIME auto renew account. ~ The account will auto renew when it expired, so it MIGHT last forever, few years of few months 💥 PM us to get account details after payment done! - This is a real login account - Not redeem voucher and pin 💥 Features: - Can download and watch any movies and drama - Can access all VIP movies and drama ➕➕➕ TAKE NOTE::: 1) The account will auto renew on expired date. 2) Please DO NOT change anything in the account(password/create profile/buy subscription) as it will VOID your warranty and affect auto renew. 3) We will provide 3 months warranty for the account, once replace a new account, there is no more warranty in future. 4) Please don't share this account with other, only for one usage for each account. - Buy [LIFETIME] IFLIX Premium VIP Account - Auto Renew Subscription",Software,9140 piece available,RM8.60,,OEM,3 months,https://shopee.com.my/-LIFETIME-IFLIX-Premium-VIP-Account-Auto-Renew-Subscription-i.283685831.5750414757,https://cf.shopee.com.my/file/43dfaf9076067027f9b60be684265235_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/___amazing.world___?categoryId=174&itemId=5750414757,4.9,564,
[LIFETIME] YouTube + Spotify + JOOX Premium | No Ads | Unlimited Subscriptions,,,*Andr0id users only YouTube: ✔ Unlimited subscription ✔ Can sign in your own email ✔ No Ads ✔ Videos can be played in the background (won't stop when you exit the app) ✔ Can save downloads Spotify: ✔ Unlimited Subscription ✔ Can listen to any song as long as you want ✔ Can sign in your own email ✔ No Ads ✘ Cannot download songs JOOX: ✔ 30-million-song library ✔ Background playing ✔ Ad-free ✔ Download ✔ Play on demand ✔ Hi-Fi quality music ✔ Unlimited skips Note; ✿ Please leave your email on the message box during checkout. ✿ Softwares will be emailed within 24 hours. ✖ No physical item will be shipped. - Buy [LIFETIME] YouTube + Spotify + JOOX Premium | No Ads | Unlimited Subscriptions,Software,34% off,RM1.99,RM3.00,No Brand,No Warranty,https://shopee.com.my/-LIFETIME-YouTube-Spotify-JOOX-Premium-No-Ads-Unlimited-Subscriptions-i.185203128.7842204551,https://cf.shopee.com.my/file/9a79e396ac35658cf9d5e2a930b6449e_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/edzrra?categoryId=174&itemId=7842204551,4.9,907,
[LIFETIME] YouTube Premium | No Ads | Unlimited Subscription,,,*Andr0id users only ✔ Premium features unlocked ✔ Can sign in or sign up using your own email ✔ No Ads ✔ Support picture-in-picture mod ✔ Videos can be played in the background (won't stop when you exit the app) ✔ Can save downloads Note; ✿ Please leave your email on the message box during checkout. ✿ Softwares will be emailed within 24 hours. ✖ No physical item will be shipped. - Buy [LIFETIME] YouTube Premium | No Ads | Unlimited Subscription,Software,1% off,RM0.99,RM1.00,No Brand,No Warranty,https://shopee.com.my/-LIFETIME-YouTube-Premium-No-Ads-Unlimited-Subscription-i.185203128.5537722866,https://cf.shopee.com.my/file/737b77287a018da7db6003fb44990dc5_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/edzrra?categoryId=174&itemId=5537722866,4.9,534,
[VIDEO] PROFIT GUARANTEED! 100% NON REPAINT The Best Latest Advanced Algorithms Forex Indicator Trading System,,,"*** PROMOTIONS FOR THE FIRST 30 PEOPLE BEFORE THE PRICE GOES UP TO RM99.90 *** OVERVIEW: The brand new algorithms Trading System has been developed to provide you with the most accurate, precise and profitable BUY/SELL signals. You will be very surprised when you see what profit we have been able to achieve with this new trading formula. Curious? Scroll down, read the details, have a look at the trading examples and start making tons of successful trades every single day. Take Your Trading To The Highest Level! HOW IT WORKS? It uses the latest advanced algorithms to predict changes in the price movement and generates signals right on your MT4, also uses CS dashboard. thanks to this feature you can always be sure that your trading signals are supported by big and smart money. PRODUCT DETAILS: Platform: MetaTrader 4 Language: English TimeFrames: All TF Trading Time: Any Time Currency Pairs: Any Pairs Purchase Includes: Indicators + Templates + System Manual Trading Accounts: Unlimited License: Unlimited Delivery: Instant Delivery (Email Inbox) CONCLUSION: I want to repeat that the system is very effective. It will definitely help you achieve your financial goals whatever they are. Download the trading system, Install It And Make Profit In Minutes From Now! THANK YOU - Buy [VIDEO] PROFIT GUARANTEED! 100% NON REPAINT The Best Latest Advanced Algorithms Forex Indicator Trading System",Software,17 piece available,RM31.90,,No Warranty,No Warranty,https://shopee.com.my/-VIDEO-PROFIT-GUARANTEED!-100-NON-REPAINT-The-Best-Latest-Advanced-Algorithms-Forex-Indicator-Trading-System-i.179771220.4708917996,https://cf.shopee.com.my/file/9bc9c48ef117857d54ee73d6ba2311bf_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/zenziafx?categoryId=174&itemId=4708917996,5,414,
98.90 %WIN Rate PROFITABLE Forex Indicator Trading System🔥🔥 ( Accurate Signals BUY/SELL ),,,"💥PERHATIAN💥 🔸Sistem TRADING yang universal 🔸Sesuai untuk SEMUA MATAWANG dan pada SEMUA TIMEFRAME. 🔸Sesuai untuk BEGINNER dan TRADER YANG BERPENGALAMAN. 💥BAGAIMANA IA BERFUNGSI💥 🔸Sistem TRADING agak mudah dipelajari dan ia sesuai untuk semua trader. 🔸Dasar sistem trading terdiri daripada PETUNJUK YANG UNIK. 🔸Sistem ini dioptimumkan dengan baik.. 🔸Isyarat tepat BELI, MENJUAL dan TUNGGU 🔸Sistem trading yang lebih selamat dan menguntungkan. 💥BUTIRAN PRODUK💥 🔸Platform: MetaTrader 4 🔸Bahasa: English 🔸TimeFrames: Semua TimeFrames | Disyorkan pada timeframe M5 And M15 🔸Waktu trading : Tidak kisah ( Bila-bila sahaja ) 🔸Matawang : Any Pairs | Disyorkan Major Pairs + Indexes 🔸Pembelian termasuk : Indicators + Templates 🔸Lesen: Tidak terhad Penghantaran :penghantaran segera (Email) - Buy 98.90 %WIN Rate PROFITABLE Forex Indicator Trading System🔥🔥 ( Accurate Signals BUY/SELL )",Software,8669 piece available,RM3.90,,OEM,No Warranty,https://shopee.com.my/98.90-WIN-Rate-PROFITABLE-Forex-Indicator-Trading-System%F0%9F%94%A5%F0%9F%94%A5-(-Accurate-Signals-BUY-SELL-)-i.64334284.6536464303,https://cf.shopee.com.my/file/3e9a11123a8851ab6299b4a9e4691192_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/razmanpro?categoryId=174&itemId=6536464303,4.9,185,
【Windows7~10pro/All Mac/M1/CS6】2017-2021 Easy Install Latest Adobe Versions Software Lifetime Free Update AI PS PR,"Mac (All),Windows (All)","One Software (pm),Full Set Adobe 👍,One Software (pm)","Official Adobe Store (Mac) FREE 1 Software- Final Cut Pro Editing Video Premium (Windows) FREE 1 Software- Wondershare Filmora Editing Video Premium 1) GET ALL ADOBE LATEST SOFTWARE LIFETIME 2) ONE TIME PAYMENT ONLY , EASY TO INSTALL🔥 3) 🔥 100% Working !!! STABLE & RELIABLE 🔥 4) 🔥 Ultra High Network Server Download Speed 🔥Video Installation Provided 5) • [ 2017 - 2021 latest version ] 6) • Will keep continue to update 2022 Adobe in future, I send new version to you without paying again! 7) Can access lifetime,.no time limited to download ----------------------------- What do you get with this purchase ❓ ✅ Lifetime- Unlimited Installation ✅ Install normally 100% Working !!! ✅ Save up more than USD 200/ YEAR ✅ Can install multiple PC ✅ One time payment ✅ Installer + Video Installation Instruction & Tutorials have been provided ✅ Provide TeamViewer support installation ✅ No expiry date ✅ NOT TRIAL version ⚠️ Compatible with Laptop 💻 & PC 🖥️ / Windows 7/8/8.1/10/10 pro 64 bit ✅ ⚠️ Compatible with Mac all models ✅ ⚠️ Photoshop / Illustrator 32 bit ✅ ️ ️❗️❗ Windows 32 bit ✅ ️❗️❗ Windows 7 64 bit ✅ ️❗️❗ Windows 8 64 bit ✅ ️❗️❗ Windows 8.1 64 bit ✅ ️❗️❗ Windows 10 64 bit ✅ ️❗️❗ Windows 10 pro 64 bit ✅ ️❗️❗ MacOS 10.11 (El-Capitan) ✅ ️❗️❗ MacOS 10.12 (Sierra) ✅ ❗️❗ MacOS 10.13 (High Sierra) ✅ ❗️❗ MacOS 10.14 (Mojave) ✅ ❗️❗ MacOS 10.15 (Catalina) ✅ ❗️❗ MacOS 11.0 or Later (Big Sur/M1 Chip) ✅ ----------------------------- Mac 🖥️Latest Version Software included : 1)Adobe Acrobat DC 2021 2)Adobe After Effects 3)Adobe Animate 2021 4)Adobe Audition 5)Adobe Bridge 2021 6)Adobe Character Animator 7)Adobe Dimension 2021 8)Adobe Dreamweaver 2021 9)Adobe Illustrator 2021 10)Adobe InCopy 2021 11)Adobe InDesign 2021 12)Adobe Lightroom Classic 2021 12)Adobe Media Encoder 13)Adobe Photoshop 2021 14)Adobe Photoshop Element 2021 15)Adobe Prelude 16)Adobe Premium Element 2021 17)Adobe Premiere Pro 18)Adobe Premiere Rush 2021 19)Adobe XD 2021 20)Adobe Creative Cloud 2021 Windows 🖥️Latest Version Software included : 1)Adobe Acrobat DC 2021 2)Adobe After Effects 3)Adobe Animate 2021 4)Adobe Audition 5)Adobe Bridge 2021 6)Adobe Character Animator 7)Adobe Dimension 2021 8)Adobe Dreamweaver 2021 9)Adobe Fresco 2020 9)Adobe Illustrator 2021 10)Adobe InCopy 2021 11)Adobe InDesign 2021 12)Adobe Lightroom Classic 2021 13)Adobe Media Encoder 14)Adobe Photoshop 2021 15)Adobe Photoshop Element 2021 16)Adobe Prelude 17)Adobe Premiere Pro 18)Adobe Premiere Pro Elements 2021 19)Adobe XD 2021 ----------------------------- Once the payment confirmed by Shopee Software will be delivered through Email within 1~5 minutes / Nothing will be posted. If didn't worked, don't worry I will refund your money ~ #Big Surr M1 Chip Supported 2021 #Mac Adobe Full Set (Catalina, Sierra, Mojave, High Sierra, Capitan) #Windows Full Set 7/8/8.1/10/10pro/32bit/64bit - Buy 【Windows7~10pro/All Mac/M1/CS6】2017-2021 Easy Install Latest Adobe Versions Software Lifetime Free Update AI PS PR",Software,"65661 piece available,2325 piece available,73727 piece available","RM9.90,RM29.99,RM9.90","RM10.00,RM69.90,RM10.00",Lifetime Warranty,Supplier Warranty,https://shopee.com.my/%E3%80%90Windows7~10pro-All-Mac-M1-CS6%E3%80%912017-2021-Easy-Install-Latest-Adobe-Versions-Software-Lifetime-Free-Update-AI-PS-PR-i.339112466.8202546241,https://cf.shopee.com.my/file/4d49326d2f12a74ff1a8ad24d62c93bc_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/ecobraonlinestore?categoryId=174&itemId=8202546241,5,253,7.5k
