title,Catagory,Account_type/Product_Type,Content,prdouct type,stock,regular_price,sale_price,Brand,Wrranty Period,Wrranty type,product_url,images_url,product_catagory,Store_url/dropship_supplier,Rating out of 5,Rating,Sold
Genuine Microsoft Windows 10 /8.1/7 Home Pro Ultimate Digital License Key [FREE MS OFFICE],Options,"Windows 10 Home,Windows 10 Pro,Windows 10 Pro,Windows 10 Pro,Windows 10 Pro,Windows 10 Pro,Windows 10 Pro,Windows 10 Pro","✅  Genuine Windows 10/8.1/7 Pro License Key
✅  Instant Delivery 2-4 Hours
✅  Lifetime Activation For 1 PC/Laptop
✅  Bulk Purchase Support
✅  Latest Update Support From Microsoft
✅  Free Office 365 T&C Applied

❌ COA/DVD BOX
❌ PIRATED/CRACK VERSION
❌ TRIAL AND COPY

Inside Our Product Got  Option To Choose
Windows 7 Home Premium
Windows 7 Professional 
Windows 7 Ultimate
Windows 8.1 Professional
Windows 10 Professional
Windows 10 Home
Windows 10 Enterprise

Kindly Choose The Correct Version To Purchase

After Done Purchase We Will Send The Activation Key And Software Through Shopee Chat. - Buy Genuine Microsoft Windows 10 /8.1/7 Home Pro Ultimate Digital License Key [FREE MS OFFICE]",Software,"19977 piece available,19997 piece available,19999 piece available,19999 piece available,19998 piece available,20000 piece available,19999 piece available,20000 piece available","RM3.40,RM3.40,RM3.40,RM3.40,RM3.40,RM3.40,RM3.40,RM0.50",,Microsoft,Lifetime Warranty,Supplier Warranty,https://shopee.com.my/Genuine-Microsoft-Windows-10-8.1-7-Home-Pro-Ultimate-Digital-License-Key-FREE-MS-OFFICE--i.139760100.3681631711,https://cf.shopee.com.my/file/775aa3eaa1ad442a8341a7a27ca95de0_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/dewileeyoe?categoryId=174&itemId=3681631711,4.6,9,17
Adobe 2021/2020 Lifetime Collection For Win10 Photoshop Lightroom Illustrator Premiere Pro AfterEffects Animate PS PR AI,"Full Bundle,Designer Pack,Photoshop 2021,illustrator 2021,Animate 2021,Bridge 2021,Dreamweaver 2021,InDesign 2021,InCopy 2021,Acrobat,After Effect,Audition,Character Animator,Lightroom Classic,Prelude,Premiere Pro,XD,Media Encoder",Windows 10 (64-bit),"✅ Latest Adobe 2021 Bundle🔥🔥🔥
✅ Safe already scanned with antivirus
✅ Only Windows 10 !!!!! [version 1809 or later]
✅ Please read description

Noted: 
👉No Item will be posted out, only digital download will be share by google drive 
👉Lifetime installer and unlimited installation
👉Windows 10 version 1809 or later (version 1909 recommended)
* All screenshot of the software is from ORIGINALLY from our shop and not taken else anywhere tested working!

👉Version Information👈 pls read
Adobe Photoshop 2021 (Version 22.0.0)
Adobe Animate 2021 (Version 21.0)
Adobe InCopy 2021 (Version 16.0)
Adobe Illustrator 2021 (Version 25.0)
Adobe Bridge 2021 (Version 11.0)
Adobe InDesign 2021 (Version 16.0)
Adobe Dreamweaver 2021 (Version 21.0)
Adobe Premiere Elements 2021 (Version 19.0)
Adobe Photoshop Elements  2021 (Version 19.0)
Adobe Acrobat DC (Version 2020.006.20034)
Adobe XD (Version 34.0.12)
Adobe After Effects 2020 (Version 17.1.4)
Adobe Audition 2020 (Version 13.0.12)
Adobe Captivate 2019 (Version 11.5)
Adobe Character Animator 2020 (Version 3.4)
Adobe Dimension (Version 3.4)
Adobe Lightroom Classic (Version 10.0)
Adobe Media Encoder 2020 (Version 14.4)
Adobe Prelude 2020 (Version 9.0.1)
Adobe Premiere Pro (Version 14.5)

[[The folder will be shared after Payment Finish]]
We will send you the installation guide through shopee chat - Buy Adobe 2021/2020 Lifetime Collection For Win10 Photoshop Lightroom Illustrator Premiere Pro AfterEffects Animate PS PR AI",Software,657 piece available,RM9.90,RM25.00,OEM,Lifetime Warranty,Supplier Warranty,https://shopee.com.my/Adobe-2021-2020-Lifetime-Collection-For-Win10-Photoshop-Lightroom-Illustrator-Premiere-Pro-AfterEffects-Animate-PS-PR-AI-i.339428363.6163566258,https://cf.shopee.com.my/file/e667c87f9c0005adbb1466806a12fba0_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/zdmzmall?categoryId=174&itemId=6163566258,5.0,1.8k,3.3k
SPSS Statistics v26 [Full Ver],Shipping,"Mac,Windows","Noted: No Item will be posted out, only digital download will be sent through shopee message chat/email

WHY BUY FROM ME?
😍 INSTALLATION VIDEO TUTORIAL INCLUDED
✅We Software Streets, we tested before we sell. We mean it, we guarantee it.
✅Experienced live-chat support. We know what we are doing, we know what we selling, and what we should provide
✅Remote Desktop Error Troubleshooting! When things goes bad, we will remote your PC using Team Veiwer / AnyDesk and help to resolve it for you
✅Need more reason? We sell at best price, not overprice. 
✅Why so less products? The lesser the product, the better can control the quality of the software instead of just selling it and provide unstable software.
✅Fast cloud drive download, we do not sell torrent link.

File Size : 2.5GB Below

Extra Notes: 
- Windows 10 64bits Only
- Other windows please ask before purchase.
- Leave your email, whatsapp num (based on how we send) in chat or note after payment, we will process and notify you once done. - Buy SPSS Statistics v26 [Full Ver]",Software,"4 piece available,441 piece available","RM6.00,RM6.00",,OEM,1 month,Supplier Warranty,https://shopee.com.my/SPSS-Statistics-v26-Full-Ver--i.3810077.7414621500,https://cf.shopee.com.my/file/91b822d8d38504d849d90b99c10e7539_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/softwarestreets?categoryId=174&itemId=7414621500,5.0,3.1k,6k
Movavi Video Editor Plus 2021 v21.1.0 FULL VERSION Software,Products,"Video Suite,Video Editor Plus","Movavi Video Editor Plus 2021 v21.1.0 FULL VERSION Software

*This is NOT Product Key
*This is NOT working for MacOS

Suite Features included:
- Edit Video
- Convert Video
- Record Computer Screen
- Create Slideshows
- Movavi Photo Editor

Do you have a lot of videos and photos of travel that you can not wait to share with your loved ones? Want to make a film about an important event - for example, a wedding or graduation? With Movavi Video Editor you can create an exciting video yourself, even if you are new to video editing! In our user-friendly video editing application, there are no complicated settings, and all effects are added simply by dragging. Download Video Editor and edit your first movie!

Movavi Video Suite is an all-in-one video maker: an editor, converter, screen recorder, and more. Perfect for remote work and distance learning. 
Read more: https://www.movavi.com/suite/?asrc=main_menu#main

Package will be included:
✔ Lifetime - Unlimited Installation
✔ Digital Download Only
✔ No Monthly Subscription Fee
✔ Save up more than USD 200/ YEAR
✔ Multiple User & Virus Free
✔ Installation guide provided!
✔ Compatible with Windows 7/ 8/ 10 - 64 bit
✔ Safer and no shipping fee!
✔ Enjoy the same quality of the box version! No different!
✔ 100% have same function with box version!

Welcome to visit & contact us for have any further.

Note:
1. After payment please amend your email on notes or drop a message to us, we will send to you as soonest!
2. Do not share link with the others. Only your email able to access to it! - Buy Movavi Video Editor Plus 2021 v21.1.0 FULL VERSION Software",Software,"298 piece available,18 piece available","RM4.99,RM5.99",,OEM,No Warranty,No Warranty,https://shopee.com.my/Movavi-Video-Editor-Plus-2021-v21.1.0-FULL-VERSION-Software-i.166829509.2595996610,https://cf.shopee.com.my/file/c4ab0b9ebeab17455c96b6f3b0a514b1_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/softstorage?categoryId=174&itemId=2595996610,5.0,1.2k,2k
【Windows7~10pro/All Mac/M1】2017-2021 Easy Install Latest Adobe Versions Software Lifetime Free Update AI PS PR,"Mac (All),Windows (All)","One Software (pm),Full Set Adobe 👍,One Software (pm)","(Mac)
Free Software- Final Cut Pro Editing Video Premium (require with seller)
(Windows)
Free Software- Wondershare Filmora Editing Video Premium (require with seller)

1) GET ALL ADOBE LATEST SOFTWARE LIFETIME 
2) ONE TIME PAYMENT ONLY ,  EASY TO INSTALL🔥
3) 🔥 100% Working !!! STABLE & RELIABLE 🔥
4) 🔥 Ultra High Network Server Download Speed 🔥Video Installation Provided
5) • [ 2017 - 2021 latest version ]
6) • Will keep continue to update Adobe in future, I send new version to you without paying again!
7) Can access lifetime,.no time limited to download
-----------------------------
What do you get with this purchase ❓
✅ Lifetime- Unlimited Installation
✅ Install normally 100% Working !!!
✅ Save up more than USD 200/ YEAR
✅ Can install multiple PC
✅ One time payment
✅ Installer + Video Installation Instruction & Tutorials have been provided
✅ Provide TeamViewer support installation
✅ No expiry date
✅ NOT TRIAL version
⚠️ Compatible with Laptop 💻 & PC 🖥️ / Windows 7/8/8.1/10/10 pro 64 bit  ✅
⚠️ Compatible with Mac all models ✅
⚠️ Photoshop / Illustator 32 bit ✅
️  
️❗️❗ Windows 32 bit ✅ 
️❗️❗ Windows 7 64 bit ✅ 
️❗️❗ Windows 8 64 bit ✅ 
️❗️❗ Windows 10 64 bit ✅ 
️❗️❗ MacOS  10.11 (El-Capitan) ✅ 
️❗️❗ MacOS  10.12 (Sierra) ✅ 
❗️❗ MacOS  10.13 (High Sierra) ✅ 
❗️❗ MacOS  10.14 (Mojave) ✅ 
❗️❗ MacOS  10.15 (Catalina) ✅ 
❗️❗ MacOS  11.0 or Later (Big Sur/M1 Chip) ✅ 
-----------------------------
Mac
🖥️Latest Version Software included :
1)Adobe Acrobat DC 2021
2)Adobe After Effects 
3)Adobe Animate 2021
4)Adobe Audition 
5)Adobe Bridge 2021
6)Adobe Character Animator  
7)Adobe Dimension 2021
8)Adobe Dreamweaver 2021	 
9)Adobe Illustrator 2021
10)Adobe InCopy 2021
11)Adobe InDesign 2021 
12)Adobe Lightroom Classic 2021
12)Adobe Media Encoder 
13)Adobe Photoshop 2021
14)Adobe Photoshop Element 2021
15)Adobe Prelude 
16)Adobe Premium Element 2021
17)Adobe Premiere Pro 
18)Adobe Premiere Rush 2021
19)Adobe XD 2021
20)Adobe Creative Cloud 2021	

Windows
🖥️Latest Version Software included :
1)Adobe Acrobat DC 2021
2)Adobe After Effects 
3)Adobe Animate 2021
4)Adobe Audition 
5)Adobe Bridge 2021
6)Adobe Character Animator 
7)Adobe Dimension 2021
8)Adobe Dreamweaver 2021	
9)Adobe Fresco 2020 
9)Adobe Illustrator 2021
10)Adobe InCopy 2021
11)Adobe InDesign 2021 
12)Adobe Lightroom Classic 2021
13)Adobe Media Encoder 
14)Adobe Photoshop 2021
15)Adobe Prelude  
16)Adobe Premiere Pro 
17)Adobe XD 2021
-----------------------------
Once the payment confirmed by Shopee
Software will be delivered through Email within 1~5 minutes / Nothing will be posted.
If didn't worked, don't worry I will refund your money ~

#Big Surr M1 Chip Supported 2021
#Mac Adobe Full Set (Catalina, Sierra, Mojave, High Sierra, Capitan)
#Windows Full Set 7/8/8.1/10/10pro/32bit - Buy 【Windows7~10pro/All Mac/M1】2017-2021 Easy Install Latest Adobe Versions Software Lifetime Free Update AI PS PR",Software,"65663 piece available,2343 piece available,73741 piece available","RM9.90,RM29.90,RM9.90","RM10.00,RM69.90,RM10.00",Adobe,Lifetime Warranty,Supplier Warranty,https://shopee.com.my/%E3%80%90Windows7~10pro-All-Mac-M1%E3%80%912017-2021-Easy-Install-Latest-Adobe-Versions-Software-Lifetime-Free-Update-AI-PS-PR-i.339112466.8202546241,https://cf.shopee.com.my/file/4d49326d2f12a74ff1a8ad24d62c93bc_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/ecobraonlinestore?categoryId=174&itemId=8202546241,5.0,217,7.4k
[BUY1FREE2] MICROSOFT OFFICE PRO PLUS 2019 2016 2013 2010 GENUINE [WIN ONLY],VERSION,"OFFICE 2016,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019,OFFICE 2019","Genuine Full Version Download From Official Microsoft

❌BOX
❌DVD/CD
❌COA
❌Cracked / Pirated 
❌Trial / Beta copy
.
.
✔Activate both 32bit / 64bit version 
✔Office 2019 need Win 10
✔Can register online and updates /download
 ✔Lifetime use after activation
✔Full retail vision x32/64
✔1Purchase For 1Pc/User
✔No as a spare key/Immediately use
.
.
What We Provide? 
Download link from Official Link or google download link & 100% genuine serial key.

.
What's inside Microsoft office Pro Plus? 

1. Word 
2. Excel 
3. Power Point  
4. One Note  
5. Access 
6.Publisher  
7.Outlook  


.

✔100% GUARANTEE
 If the activation key CANNOT be installed, we will replace with new license key or 100% refund your money !
.
.
For Delivery :
We will send you the activation key and software/download link through email within 1-24 working hours once we have received the payment from you


#OFFICE
#MICROSOFT
#WINDOW
#PC 
#LAPTOP
#COMPUTER 
#SOFTWARE
#key
#window10
#2019
#OFFICE2019
 - Buy [BUY1FREE2] MICROSOFT OFFICE PRO PLUS 2019 2016 2013 2010 GENUINE [WIN ONLY]",Software,"99556 piece available,100894 piece available,99980 piece available,99975 piece available,99989 piece available,99999 piece available,99994 piece available,99999 piece available,99547 piece available","RM5.00,RM5.00,RM4.00,RM4.00,RM4.00,RM4.00,RM4.00,RM4.00,RM1.00",,OEM,Lifetime Warranty,Supplier Warranty,https://shopee.com.my/-BUY1FREE2-MICROSOFT-OFFICE-PRO-PLUS-2019-2016-2013-2010-GENUINE-WIN-ONLY--i.314562213.4681023857,https://cf.shopee.com.my/file/6d86a7d8de83a3583e9b2b455603e7b4_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/sell2ware?categoryId=174&itemId=4681023857,5.0,264,5.6k
[Latest] Adobe CC 2021 Full Version Lifetime Activation [ Windows / Mac ],"Full Master Pack,Photoshop 2021,Illustrator 2021,Lightroom 2021,Premiere Pro 2021,After Effects 2021,Acrobat Pro 2021,InDesign 2021,Choose one Adobe","Windows,Mac,Windows,Mac,Windows,Mac,Windows,Mac,Windows,Mac","❓❓❓❓ Why Choose Ez Photo ❓❓❓❓
💯 100% Working guaranteed or full refund
🕔  Lifetime Activation Installer
🔧  After Sales service team patience supports until successfully work 
⚙️  Ez Easy Installation
⏳  Can download one by one - Save Space Save Time
🎁  Multiple Free Gift - Premium Mobile App, Editing Tutorial Videos, Magazines (For full pack only) 
📌  Windows 10 Only or Mac 10.14 later, Big Sur

===========================================================================================
✔  Free to claim for future Update
✔  Updated to the latest Version - Bug Fixes and New Features
✔  Multi-language version
✔  No Monthly Subscription Fees
✔  Same Function with Box version
✔  Multiple User PC
✔  Safe and Virus Free by tested before sales
✔  Detailed installation guide provided
✔  Compatible with Windows 10- 64 bit Only
✔  Compatible with Mac OS 10.14 or later 
✔  Compatible with Mac OS Big Sur

📧  For Shipping:
Just leave your email in the chat or remark and we will send you the installation files through EMAIL once we have received the payment from you.

📌  Full Pack Master Collection CC 2021 include: 
Acrobat Pro DC 2021
Animate CC 2021
Illustrator CC 2021
Bridge CC 2021
Dreamweaver CC 2021
Audition CC 2021
Photoshop CC 2021
Prelude CC 2021
Lightroom Classic CC 2021
Media Encoder CC 2021
After Effects CC 2021
Character Animate CC 2021
Premiere Pro CC 2021
Premiere Rush CC 2021
InCopy CC 2021
InDesign CC 2021
Dimension CC 2021
Xperience Design CC 2021
Lightroom Mobile CC 2021 (For Android)

Usage: Photo Editing, Graphic Design, Video Editing, Web development, Animation

==============================================================================================
💻 System Requirements For Adobe Master Collection 2021
Operating System: Windows 10 Or  Mac OS 10.14 or later
Memory (RAM): 4 GB of RAM required.
Hard Disk Space: At least 30 GB of free space required
Graphic: * 1024 × 768 display (1280 × 800 recommended) with OpenGL® 2.016-bit color
3D features are disabled with less than 512MB of VRAM
 - Buy [Latest] Adobe CC 2021 Full Version Lifetime Activation [ Windows / Mac ]",Software,"575 piece available,342 piece available,530 piece available,482 piece available,356 piece available,423 piece available,532 piece available,424 piece available,426 piece available,571 piece available","RM45.50,RM45.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50,RM9.50","RM100.00,RM100.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00,RM20.00",OEM,No Warranty,No Warranty,https://shopee.com.my/-Latest-Adobe-CC-2021-Full-Version-Lifetime-Activation-Windows-Mac--i.93512146.9615547611,https://cf.shopee.com.my/file/10d150a671ce38b97bcc3889d673a989_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/ezphoto?categoryId=174&itemId=9615547611,4.9,19,48
Microsoft Windows 10 Pro/Home/Ent/8/8.1Pro/7Pro/Ultimate Office [Free office 365],WINDOWS,"WIN 10 HOME,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO,WIN 10 PRO","windows 10 Pro/Home | 8.1 Pro | 8 Pro | 7 Ultimate | 7 Pro | 7 Home 
Genuine Full Version Download From Microsoft 
100% original (LICENSED KEY)

. 
For Delivery :
We will send you the activation key and Microsoft  software/download link through chat within 1 working hours once we have received the payment from you
  
FREE 1 OFFICE 365 - **T&C applied

 
❌BOX
❌DVD/CD
❌COA
❌Cracked / Pirated 
❌Trial / Beta copy

✔Activate both 32bit / 64bit version 
✔Lifetime use after activation
✔Full retail vision x32/64
✔1Unit For 1Pc/User
✔No as a spare key 

 

What We Provide? 
100% original serial key.

100% GUARANTEE
 If the activation key CANNOT be installed on your Genuine Windows, we will replace with new license key after we remotely troubleshoot, 100% refund your money if we unable to activate your Genuine Windows!

#OFFICE
#MICROSOFT
#WINDOW
#PC 
#LAPTOP
#COMPUTER 
#SOFTWARE
#windows
#key
#window10
#2019
#OFFICE2019


T&C - Buy windows free office 365 please rate us 5star 1st
 - Buy Microsoft Windows 10 Pro/Home/Ent/8/8.1Pro/7Pro/Ultimate Office [Free office 365]",Software,"93875 piece available,99873 piece available,99992 piece available,99987 piece available,99985 piece available,99996 piece available,99997 piece available,99996 piece available,99981 piece available,99988 piece available,99992 piece available,99999 piece available,98353 piece available","RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM2.50,RM0.40",,OEM,No Warranty,No Warranty,https://shopee.com.my/Microsoft-Windows-10-Pro-Home-Ent-8-8.1Pro-7Pro-Ultimate-Office-Free-office-365--i.314562213.9422225602,https://cf.shopee.com.my/file/8a7d73da2cc27b427549fe62fbd2942a_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/sell2ware?categoryId=174&itemId=9422225602,5.0,399,7.7k
MICROSOFT OFFICE 365 Proffesional Plus For Wins And Mac,ACCOUNT TYPE,"PREFIXED,CUSTOMISE","*5 PC or Mac 5Tablets and 5 Phones +1TB Online Drive
*FAST INSTALL✔   DOWNLOAD ONLY✔     EASY SETUP✔
*NO CD/DVD will be sent!
*We will provide you Microsoft office 365 account and password,you will get the installer directly from Microsoft office website once Payment made.

Prefixed is random name account will be provided
Customised can create user name you want with our domain xxxx@XXXX.XXX eg a2w@XXXX.XXX
*Delivery will be made via shopee chat
Microsoft office contains:

1-WORD 
2-EXCEL 
3-POWERPOINT  
4-OUTLOOK 
5-PUBLISHER windows only
6-ACCESS windows only
7-OUTNOTE


*it is no pirate or hacked version,it is 100% genuine.
*No box,no cd, only download and it is permanent.
*Shall automatic be updated by Microsoft office
*Supports all language

#microsoft #office #365 #softwares #pc #windows #mac #ipad #iphone #apple #2016 #5tb #lifetime #cheap #promotion #shockingsales #computer #laptop #MICROSOFTOFFICE365
 - Buy MICROSOFT OFFICE 365 Proffesional Plus For Wins And Mac",Software,"9314 piece available,9672 piece available","RM7.00,RM3.00",,OEM,Lifetime Warranty,Supplier Warranty,https://shopee.com.my/MICROSOFT-OFFICE-365-Proffesional-Plus-For-Wins-And-Mac-i.314562213.8120303471,https://cf.shopee.com.my/file/47186b17f9a84b31baaf4948f5f03ec6_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/sell2ware?categoryId=174&itemId=8120303471,5.0,276,5.6k
MasterClass Full Access | Lifetime Subscription | MasterClass Account,,,"MasterClass Premium Account.

MasterClass is the streaming platform where anyone can learn from the world's best. 

Free e-Book. 

Secure an account from us, and you can get unlimited access to instructor.

Why get it in few hours when you can get it fast from us!

Learn from the World's best on business and leadership, photography, cooking, writing, acting, music, sports and more, MasterClass delivers a world class online learning experience. 

Video lessons are available anytime, anywhere on your smartphone, personal computer, Apple TV and FireTV streaming media players.

How it works:
✔ We will give you a MasterClass Premium Account ID and password
✔ These are real and paid Subscription MasterClass Premium Accounts
✔ These accounts will auto-renew themselves (you can use it forever)
✔ Any changes made to the account's details will result in voiding the warranty
✔ Free Warranty

Contact us if you need more support and information. 

#masterclass - Buy MasterClass Full Access | Lifetime Subscription | MasterClass Account",Software,18 piece available,RM6.99,,OEM,6 months,Supplier Warranty,https://shopee.com.my/MasterClass-Full-Access-Lifetime-Subscription-MasterClass-Account-i.256512014.9006030713,https://cf.shopee.com.my/file/44ea15c32fd3e2599b71c2ab5399d9e8_tn,"Shopee,Computer & Accessories,Components,Software",https://shopee.com.my/edgerbiz?categoryId=174&itemId=9006030713,5.0,171,
