Name,Street Address,Locality,State,Zip code,Telephone,fax
Acupuncture For Animals,2131 Hillsboro Rd,Franklin,TN,37065, (615) 790-9739,
Banfield The Pet Hospital,2784 Wilma Rudolph Blvd,Clarksville,TN,37040, (931) 906-8664, (931) 906-8697
Animal Health Safety & Welfare,873 Belton Dr,Nashville,TN,37205, (615) 353-6393, (615) 661-5898
All About Animals Veterinary Care,4414 Eagleville Pike,Chapel Hill,TN,37034, (931) 364-2305,
Blue Pearl Veterinary Partners - Brentwood,1668 Mallory Ln,Brentwood,TN,37027, (615) 333-1212, (615) 661-9883
Hillside Veterinary Clinic,4930 Marion Rd,Cunningham,TN,37052, (931) 387-4900, (931) 387-4988
Veterinary Services,123 S Horton Pkwy,Chapel Hill,TN,37034, (931) 364-7799, (931) 364-3034
West Meade Veterinary Clinic,990 Davidson Dr,Nashville,TN,37205, (615) 356-1152, (615) 690-9398
St Bethlehem Animal Clinic,400 Warfield Blvd. Ct.,Clarksville,TN,37043, (931) 645-4111, (931) 645-4161
Rolling Hills Equine Clinic,615 Coop Rd,Bell Buckle,TN,37020, (931) 437-2236,
Trousdale County Veterinary Services,700 E McMurry Blvd E,Hartsville,TN,37074, (615) 374-0330, (615) 374-9999
Sycamore Animal Hospital,5420 Highway 41a,Joelton,TN,37080, (615) 746-6000, (615) 746-6060
VCA Companion Animal Hospital,121 Two Mile Pike,Goodlettsville,TN,37072, (615) 851-0833, (615) 859-0192
Value Vet,4602 Gallatin Pike,Nashville,TN,37216, (615) 226-3000, (615) 851-7588
Leipers Fork Veterinary Svc,5920 Parham Rd,Franklin,TN,37064, (615) 595-8544, (615) 298-2928
House Kennel Farm Call Clinic,1996 Old Hillsboro Rd,Franklin,TN,37064, (615) 794-2660, (615) 298-2928
Harpeth Valley Animal Hospital,8252 Collins Rd,Nashville,TN,37221, (615) 673-0100, (615) 673-0195
Natchez Trace Veterinary Services - Franklin,3813 New Highway 96 W,Franklin,TN,37064, (615) 790-8100, (615) 790-8177
Low Cost Spay & Neuter,7098 Old Harding Rd,Nashville,TN,37221, (615) 646-7724, (615) 599-1208
Harpeth Hills Animal Hospital,329 Clofton Dr,Nashville,TN,37221, (615) 646-7387, (615) 662-8059
Goose Creek Pet Hospital,4400 Franklin South Ct,Franklin,TN,37064, (615) 628-8664, (615) 628-8850
White County Veterinarian Clnc,578 N Spring St,Sparta,TN,38583, (931) 836-3707, (931) 836-3911
Dixon Animal Hospital,5400 Western Ave,Knoxville,TN,37921, (865) 584-4141, (865) 584-7128
Cross Roads Animal Clinic,7426 Maynardville Pike,Knoxville,TN,37938, (865) 922-7749, (865) 922-4639
Halls Animal Hospital,7126 Maynardville Hwy,Knoxville,TN,37918, (865) 922-3003, (865) 922-1024
Fountain City Animal Hospital,5630 N Broadway St,Knoxville,TN,37918, (865) 688-0776, (865) 688-9896
Emory Animal Hospital,2311 W Emory Rd,Powell,TN,37849, (865) 947-0437, (865) 947-8943
East River Animal Clinic,6400 Asheville Hwy,Knoxville,TN,37924, (865) 637-7000, (865) 584-7128
Crossings Animal Hosp & Laser,8705 Asheville Hwy,Knoxville,TN,37924, (865) 933-5011, (865) 933-5007
Clinton Highway Veterinary,7215 Clinton Highway,Powell,TN,37849, (865) 938-3313, (865) 938-3316
Pet Doctor,7009 Asheville Hwy,Knoxville,TN,37924, (865) 329-0003, (865) 523-2617
Northside Animal Clinic,Quarry Rd,Knoxville,TN,37938, (865) 922-8300, (865) 689-8606
University Of Tn Veterinary,"2407 River Dr, Room B 206",Knoxville,TN,37996, (865) 974-8387, (865) 974-0174
Tazewell Animal Clinic Inc,7408 Tazewell Pike,Corryton,TN,37721, (865) 281-2502, (865) 281-2504
Powell Animal Hospital,205 Star Mountain Way,Powell,TN,37849, (865) 938-1884, (865) 381-2191
North KNOX Veterinary Clinic,4700 Central Avenue Pike,Knoxville,TN,37912, (865) 687-2515, (865) 689-8606
Norwood Veterinary Hospital,2828 Merchant Drive,Knoxville,TN,37912, (865) 523-2611, (865) 523-2617
Magnolia Animal Clinic,2817 E Magnolia Ave,Knoxville,TN,37917, (865) 522-6753, (865) 554-4791
Washington Pike Veterinary,3400 Mill Rd,Knoxville,TN,37924, (865) 523-6886, (865) 637-8084
VCA Companion Animal Hospital,2930 Tazewell Pike,Knoxville,TN,37918, (865) 689-2719, (865) 689-7496
Veterinary Medical Ctr,5009 Clinton Hwy,Knoxville,TN,37912, (865) 689-5000, (865) 689-5866
Knoxville Pet Emergency Clinic,1819 Ailor Ave,Knoxville,TN,37921, (865) 637-0114, (865) 554-4791
Karn's Animal Clinic,7752 Oak Ridge Hwy,Knoxville,TN,37921, (865) 690-1282, (865) 694-4694
Just for Pets Animal Clinic,"5034 N Broadway Street, Ste 255",Knoxville,TN,37918, (865) 357-1838, (865) 922-1024
Central Veterinary Hospital NE,3314 Mill Rd,Knoxville,TN,37924, (865) 523-6866, (865) 637-6488
Central Veterinary Hospital,1212 W Clinch Ave,Knoxville,TN,37916, (865) 525-1167, (865) 637-6488
Callahan Drive Animal Hospital,6800 Barger Pond Way,Knoxville,TN,37912, (865) 938-0243, (865) 689-0621
Broadway Veterinary Clinic,4207 N Broadway St,Knoxville,TN,37917, (865) 687-2651, (865) 689-0621
Asheville Highway Animal Clnc,4516 Asheville Hwy,Knoxville,TN,37914, (865) 523-8434, (865) 546-8623
Beaverbrook Animal Hospital,1509 E Emory Rd,Knoxville,TN,37938, (865) 688-2921, (865) 546-8623
Animal Medical Ctr,2436 E Magnolia Ave,Knoxville,TN,37917, (865) 546-2204, (865) 522-6237
All Paws Veterinary Clinic,6450 Western Ave,Knoxville,TN,37921, (865) 584-7297,
Williamson County Animal Shelter,106 Claude Yates Drive,Franklin,TN,37064, (615) 790-5590, (615) 794-9695
Animal Medical Clinic,486 N Spring St,Sparta,TN,38583, (931) 836-8187,
Fitzgerald Animal Clinic,208 Highway 52 Byp E,Lafayette,TN,37083, (615) 666-4297, (615) 666-4297
Macon County Veterinary Hospital,2586 Highway 52 W,Lafayette,TN,37083, (615) 666-8063, (615) 666-8832
Williamson County Animal Hospital,1126 Murfreesboro Rd,Franklin,TN,37064, (615) 794-7113, (615) 794-9695
Value Vet Bellevue,224 Old Hickory Blvd,Nashville,TN,37221, (615) 915-5540, (615) 778-8838
Bellevue Animal Hospital,7098 Old Harding Rd,Nashville,TN,37221, (615) 646-4545, (615) 646-5085
Evetts Animal Clinic,730 Highway 52 Byp W,Lafayette,TN,37083, (615) 666-7350, (615) 666-6494
Belle Forest Animal Hospital,154 Belle Forest Cir,Nashville,TN,37221, (615) 662-1700, (615) 646-5502
Tennessee Veterinary Specialists,4410 Peytonsville Rd.,Franklin,TN,37064, (615) 778-0288, (615) 778-8838
South Franklin Animal Hospital,137 Alpha Drive,Franklin,TN,37064, (615) 595-2337, (615) 356-0643
Caring Hands Animal Hospital,1410 Columbia Ave,Franklin,TN,37064, (615) 791-9366, (615) 591-1920
Banfield Pet Hospital,1010 Murfreesboro Rd Ste 162,Franklin ,TN,37064, (615) 591-6986, (615) 591-6989
Sabra Dog Training - Associate Certified Applied Animal Behaviorist,,Madison,TN,37115, (615) 450-0358, (615) 851-7588
Animalia Health and Wellness for Animals,1973 Highway 96 West,Franklin,TN,37064, (615) 595-7100, (615) 567-6721
Root Animal Clinic,111 Hollywood St,Goodlettsville,TN,37072, (615) 851-6868, (615) 851-7588
