Video Title,Number of Viewers,Video posting date,Video Length
Appu Puzzle Contest,2.1K views,1 week ago,0:47
Things I Love To Do Songs | 4K | Appu Series,83K views,1 year ago,31:19:00
Songs on Learning Science | 4K | Appu Series,66K views,1 year ago,29:40:00
Safety Rules Songs | 4K | Appu Series,67K views,1 year ago,34:25:00
Bug Songs | 4K | Appu Series,78K views,1 year ago,23:56
Bird Songs Vol 2| 4K | Appu Series,59K views,1 year ago,33:02:00
Bird Songs Vol 1| 4K | Appu Series,50K views,1 year ago,27:30:00
I Love Watching Birds | Things I Love To Do Songs | 4K | Appu Series,16K views,1 year ago,2:13
I Love To Write | Things I Love To Do Songs | 4K | Appu Series,20K views,1 year ago,2:22
I Love To Travel | Things I Love To Do Songs | 4K | Appu Series,14K views,1 year ago,2:36
I Love To Swim | Things I Love To Do Songs | 4K | Appu Series,28K views,1 year ago,2:01
I Love To Skate | Things I Love To Do Songs | 4K | Appu Series,20K views,1 year ago,1:56
I Love To Read | Things I Love To Do Songs | 4K | Appu Series,12K views,1 year ago,2:52
I Love To Play | Things I Love To Do Songs | 4K | Appu Series,21K views,1 year ago,2:14
I Love To Paint | Things I Love To Do Songs | 4K | Appu Series,19K views,1 year ago,2:15
I Love To Hike | Things I Love To Do Songs | 4K | Appu Series,18K views,1 year ago,2:15
I Love To Dance | Things I Love To Do Songs | 4K | Appu Series,17K views,1 year ago,2:12
I Love To Bake | Things I Love To Do Songs | 4K | Appu Series,18K views,1 year ago,2:05
I Love Music | Things I Love To Do Songs | 4K | Appu Series,28K views,1 year ago,1:45
I Love Gardening | Things I Love To Do Songs | 4K | Appu Series,104K views,1 year ago,2:53
I Love Birthday Parties | Things I Love To Do Songs | 4K | Appu Series,17K views,1 year ago,2:48
I Love Being At A Farm | Things I Love To Do Songs | 4K | Appu Series,13K views,1 year ago,2:09
Zoo Safety Rules | Safety Rule Songs | 4K | Appu Series,24K views,1 year ago,3:12
School Safety Rules | Safety Rule Songs | 4K | Appu Series,71K views,1 year ago,5:46
Road Safety Rules | Safety Rule Songs | 4K | Appu Series,32K views,1 year ago,2:29
Pool Safety Rules | Safety Rule Songs | 4K | Appu Series,41K views,1 year ago,3:22
