Video Title,Number of Viewers,Video posting date,Video Length
"Peek-A-Poo, Peek-A-Boo! | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children",81K views,22 hours ago,1:19
Yes Yes I Can Eat By Myself | Yes Yes Vegetable | Good Habit Songs | Pinkfong Songs for Children,81K views,1 day ago,1:44
Happy Easter with Pinkfong Baby | Easter Animation | Short Animation | @Pinkfong! Baby Friends,82K views,2 days ago,2:02
Baby Shark vs Dinosaurs | +Compilation | April Fools Prank |  Best Nursery Rhymes for Kids,338K views,3 days ago,29:53
Robot Vacuum Cleaner Sound | Relaxing video | White noise | @Pinkfong! Baby Friends,115K views,4 days ago,8:06
2 hours Baby Shark Dance Loop | Baby Shark Non-Stop | Baby Shark Dance Non Stop | +Compilation,665K views,6 days ago,2:50:53
Scaredy Cat Yellow Bus | Wheels on the Bus | Car Songs | Pinkfong Baby Shark Car Videos for Children,127K views,1 week ago,9:14
Yes Yes I Can Wear My Clothes | Good Habits for Children | Pinkfong Songs for Children,226K views,1 week ago,2:03
Hair dryer Relaxing Sound | Visual ASMR | White noise | @Pinkfong! Baby Friends,146K views,1 week ago,8:06
Baby Shark Healthy Habit Songs and more | +Compilation | Pinkfong Healthy Habits for Children,782K views,1 week ago,20:09
[OUT NOW] Baby Shark Car Safety Song | Kia X Pinkfong | Kia Carnival | Pinkfong Songs for Children,758K views,2 weeks ago,2:00
Did You See Cheetah’s Pattern? | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,213K views,2 weeks ago,1:25
[EXCLUSIVE] Theme Song for Baby Shark's Big Show! | Nickelodeon x Baby Shark,1.2M views,2 weeks ago,0:59
[90min] Relaxing nature sounds with Pinkfong and Hogi | Sleep Sounds ASMR | Pinkfong! Baby Friends,182K views,2 weeks ago,1:36:07
Tooth Brushing is Fun and more | +Compilation | Good Habits for Kids | Pinkfong Songs for Children,455K views,2 weeks ago,13:43
"Toot Toot, Hide and Seek with Shark Family | Baby Shark Story Songs | Pinkfong Songs for Children",10M views,3 weeks ago,5:54
"Knock, Knock! Whose Eggs? | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children",633K views,3 weeks ago,1:35
Relaxing nature sounds with Pinkfong and Hogi | Sleep Sounds for Baby | @Pinkfong! Baby Friends,307K views,3 weeks ago,8:06
Tooth Brushing Is Fun | Good Habits for Children | Pinkfong Songs for Children,551K views,3 weeks ago,1:27
[Ongoing Limited Event] Baby Shark | Abyssrium Ver.,898K views,3 weeks ago,1:31
First Aid Song-I got a boo boo and more | +Compilation | Safety Songs | Pinkfong Safety Rangers,6M views,3 weeks ago,10:24
Towers of the World with Baby Shark | Around the World with Baby Shark | Pinkfong Songs for Children,340K views,4 weeks ago,1:29
Good Morning Song | Good Habits for Children | Pinkfong Songs for Children,512K views,1 month ago,1:31
[90 Mins] Rain Sounnd | ASMR | White Noise | Sleep Sound for Baby | @Pinkfong! Baby Friends,185K views,1 month ago,1:36:07
Doctor I'm Sick! | +Compilation | Ambulance Rescue | Pinkfong Songs for Children,1M views,1 month ago,30:11
Baby Shark World ABC | Around the World with Baby Shark | Pinkfong Songs for Children,487K views,1 month ago,2:03
Guess the Animal | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,512K views,1 month ago,1:30
"My Body, My Choice | Protect My Body | I Can Say No | Kids' Safety | Pinkfong Safety Rangers",677K views,1 month ago,1:36
Relaxing sounds of Rain with Pinkfong and Hogi | Sleep Sounds for Baby | Pinkfong! Baby Friends,414K views,1 month ago,8:06
Police Car Rescue Team Special | +Compilation | Police Car Special | Pinkfong Songs for Children,720K views,1 month ago,30:31
Welcome to My House | Around the World with Baby Shark | Pinkfong Songs for Children,392K views,1 month ago,1:42
Savanna Night Tour | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,510K views,1 month ago,1:38
"Stop, Think, Ask | No, No Stranger | Stay Safe | Kids' Safety | Pinkfong Safety Rangers",981K views,1 month ago,1:25
Lion Lessons | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,2M views,1 month ago,1:25
Valentine Sharks and more | +Compilation | Best Love Songs | Pinkfong Songs for Children,1.4M views,1 month ago,1:11:54
World Clothes with Baby Shark | Around the World with Baby Shark | Pinkfong Songs for Children,367K views,1 month ago,1:45
Camping Safety Song | Safety Song | Stay Safe | Pinkfong Safety Rangers,651K views,1 month ago,1:34
Valentine Sharks and more | +Compilation | Baby Shark Love Songs | Pinkfong Songs for Children,1M views,1 month ago,29:16
Oceans and Continents with Baby Shark | Travel with Baby Shark | Pinkfong Songs for Children,369K views,1 month ago,1:45
Jungle Music Festival | Animal Songs | Learn Animals | Pinkfong Songs for Children,526K views,1 month ago,2:02
