Video Title,Number of Viewers,Video posting date,Video Length
Let's Go To The Sea! | Kids Songs About Sea Animals & Water,313K views,3 days ago,29:37:00
As Quiet As A Mouse | + More Kids Songs | Super Simple Songs,721K views,1 week ago,1:03:02
This Is A Happy Face | ft. Noodle & Pals | Super Simple Songs,2.3M views,2 weeks ago,5:42
The Month's Chant | + More Kids Songs | Super Simple Songs,731K views,3 weeks ago,31:41:00
As Quiet As A Mouse | Kids Songs | Super Simple Songs,6.9M views,1 month ago,2:26
"Red Light, Green Light + More | ft. @Carl's Car Wash  | Super Simple Songs",1.2M views,1 month ago,32:18:00
The Months Chant | ft. The Super Simple Puppets | Super Simple Songs,5.6M views,1 month ago,2:21
The Alphabet Swing | + More Kids Songs | Super Simple Songs,4.2M views,1 month ago,1:00:20
"The Wheels On The Bus + More | ft. @Mr. Monkey, Monkey Mechanic | Super Simple Songs",2.4M views,2 months ago,30:33:00
Put On Your Boots | Kids Songs | Super Simple Songs,9.2M views,2 months ago,3:08
Three Little Kittens | + More Nursery Rhymes & Kids Songs | Super Simple Songs,5.5M views,2 months ago,1:01:40
The Alphabet Swing | ABC Song for Kids | Super Simple Songs,7.6M views,2 months ago,1:45
Best Kids' Songs From Super Simple Songs | Best of 2020,5.1M views,3 months ago,1:02:54
Let's Count To 100 + More | ft. @Finny The Shark  | Super Simple Songs,2.4M views,3 months ago,37:02:00
Five Little Elves | + More Christmas Songs for Kids | Super Simple Songs,6.9M views,3 months ago,42:34:00
Three Little Kittens | Kids Songs | Super Simple Songs,5.3M views,4 months ago,3:02
"Hello Reindeer, Goodbye Snowman | ft. Noodle & Pals | Super Simple Songs",4.2M views,4 months ago,1:43
"The Wheels On The Bus | @Mr. Monkey, Monkey Mechanic version",3.2M views,4 months ago,2:28
Five Little Elves | Christmas Song For Kids | Super Simple Songs,7.7M views,4 months ago,2:36
Me! (featuring Noodle & Pals) | + More Kids Songs | Super Simple Songs,13M views,4 months ago,1:00:02
"Peekaboo, Thank You! | Kids Song | Super Simple Songs",8.1M views,5 months ago,1:30
Once I Caught A Fish Alive | + More Kids Songs | Super Simple Songs,4M views,5 months ago,38:12:00
"Red Light, Green Light | @Carl's Car Wash Version | Super Simple Songs",2M views,5 months ago,1:57
"Hello, Trick Or Treat? | + More Halloween Songs for Kids | Super Simple Songs",5.6M views,5 months ago,50:33:00
Twinkle Twinkle Little Star (Bumble Nums Version) + More | Super Simple Songs,3.1M views,6 months ago,1:01:29
"Hello, Trick Or Treat? | Halloween Song for Kids | Super Simple Songs",12M views,6 months ago,2:42
Knock Knock Trick Or Treat #2 | featuring Super Simple Puppets | Halloween Song for Kids,12M views,6 months ago,4:56
Five Little Ghosts | Halloween Song for Kids | Super Simple Songs,21M views,6 months ago,2:11
Me! | featuring Noodle & Pals | Super Simple Songs,8.2M views,7 months ago,3:26
The Wheels On The Bus  | ft. Carl's Car Wash | Super Simple Songs,10M views,7 months ago,2:32
Everything Is Going To Be Alright | Super Simple Songs,16M views,7 months ago,3:14
Let's Go For A Walk Outside | Super Simple Songs,20M views,7 months ago,4:20
Move! | Dance Song for Kids | Super Simple Songs,16M views,7 months ago,3:23
"Star Light, Star Bright | + More Kids Songs | Super Simple Songs",4.8M views,8 months ago,34:07:00
Pink Purple Orange Brown | ft. @The Bumble Nums,15M views,8 months ago,1:58
Twinkle Twinkle Little Star (Bumble Nums Version) | Super Simple Songs,3.4M views,8 months ago,1:48
Finny The Shark | Episode 1 | Play Date | @Finny The Shark,6.2M views,8 months ago,11:36
Pizza Party  + More | Super Simple Songs,11M views,9 months ago,33:56:00
The Ice Cream Song | + More Kids Songs | Super Simple Songs,7.4M views,9 months ago,55:41:00
"See You Later, Alligator - Featuring Super Simple Puppets | Super Simple Songs",3.4M views,9 months ago,0:48
Once I Caught A Fish Alive | Super Simple Songs,5.7M views,9 months ago,1:32
My Yellow Car | Super Simple Songs,46M views,9 months ago,2:59
Butterfly Ladybug Bumblebee | + More Kids Songs | Super Simple Songs,8.1M views,10 months ago,34:23:00
"Star Light, Star Bright | Kids Songs | Super Simple Songs",11M views,10 months ago,3:28
And The Green Grass Grew All Around | + More Kids Songs | Super Simple Songs,5.9M views,10 months ago,31:18:00
Let's Count To 100 | ft. Finny the Shark | Super Simple Songs,12M views,10 months ago,3:47
Down In The Deep Blue Sea + More! | Super Simple Songs,15M views,10 months ago,47:43:00
Pizza Party | Super Simple Songs,42M views,11 months ago,2:12
What’s Your Favorite Flavor Of Ice Cream? | + More Kids Songs | Super Simple Songs,6.8M views,11 months ago,32:58:00
Butterfly Ladybug Bumblebee | Super Simple Songs,29M views,11 months ago,3:10
And The Green Grass Grew | Kids Songs | Super Simple Songs,15M views,1 year ago,2:36
Walking In The Forest | + More Kids Songs | Super Simple Songs,7.3M views,1 year ago,32:55:00
Down In The Deep Blue Sea | ft. Finny The Shark! | Super Simple Songs,15M views,1 year ago,2:03
Songs About Food | Kids Songs Collection | Super Simple Songs,4.8M views,1 year ago,31:30:00
Super Simple Songs featuring the Super Simple Monsters!,9.7M views,1 year ago,32:13:00
What's Your Name? (Super Simple Puppets version) | Super Simple Songs,18M views,1 year ago,1:34
Bedtime Routine Songs | Kids Songs | Super Simple Songs,3.2M views,1 year ago,42:22:00
Peekaboo I Love You  | + More Kids Songs | Super Simple Songs,13M views,1 year ago,30:36:00
Pop The Bubbles | + More Kids Songs | Super Simple Songs,8.1M views,1 year ago,31:00:00
My Happy Song | + More Kids Songs | Super Simple Songs,23M views,1 year ago,33:10:00
I Love The Mountains | + More Kids Songs | Super Simple Songs,9.3M views,1 year ago,31:04:00
The Ants Go Marching #2 | + More Kids Songs | Super Simple Songs,6.7M views,1 year ago,40:06:00
What's This? What's That? | + More Kids Songs  | Super Simple Songs,13M views,1 year ago,32:16:00
Super Simple Fireplace 😁 | Crackling Fireplace with Christmas Music | 3 Hours!,2.6M views,1 year ago,3:00:00
Head Shoulders Knees And Toes | + More Kids Songs | Featuring Noodle & Pals,19M views,1 year ago,34:11:00
Silent Night | Christmas Song For Kids | Super Simple Songs,13M views,1 year ago,3:21
The Wheels On The Bus - featuring Noodle & Pals | + More Kids Songs from Super Simple Songs,37M views,1 year ago,30:29:00
Jingle Bells | Christmas Song | Super Simple Songs,5.4M views,1 year ago,2:36
Head Shoulders Knees And Toes | Kids Songs | Super Simple Songs,4.7M views,1 year ago,1:03
At The North Pole | Down By The Bay Christmas | Christmas Song For Kids,9M views,1 year ago,2:34
"Are You Sleeping, Baby Bear? | Kids Songs | Super Simple Songs",19M views,1 year ago,2:04
If You’re Happy And You Know It | + More Kids Songs | Super Simple Songs,13M views,1 year ago,30:53:00
Here Comes The Fire Truck | + More Kids Songs | Super Simple Songs,14M views,1 year ago,31:57:00
My Happy Song | featuring Noodle & Pals | Super Simple Songs,65M views,1 year ago,3:56
The Bear Went Over The Mountain | + More Kids Songs | Super Simple Songs,4.4M views,1 year ago,31:58:00
Pop The Bubbles | Kids Songs | Super Simple Songs,27M views,1 year ago,2:50
Halloween Songs For Kids | Super Simple Songs,9.1M views,1 year ago,46:50:00
Halloween ABC Song | Super Simple Songs,14M views,1 year ago,1:42
This Is The Way We Trick Or Treat | featuring The Super Simple Puppets,114M views,1 year ago,1:57
"Knock Knock, Trick Or Treat? | featuring The Super Simple Puppets | Super Simple Songs",36M views,1 year ago,4:51
10 Monsters In The Bed | Kids Halloween Song | Super Simple Songs,18M views,1 year ago,2:37
Hello Hello! | featuring The Super Simple Puppets,10M views,1 year ago,1:21
I Love The Mountains | Super Simple Songs,20M views,1 year ago,2:14
Line Up! | featuring Noodle & Pals | Super Simple Songs,35M views,1 year ago,2:06
Hello! | featuring The Super Simple Puppets | Super Simple Songs,26M views,1 year ago,1:24
Introducing the Super Simple App for iOS!,1.7M views,1 year ago,1:06
Open Shut Them #4 | Super Simple Songs,23M views,1 year ago,2:16
Here Comes The Fire Truck | Kids Songs | Super Simple Songs,17M views,1 year ago,2:51
The Bear Went Over The Mountain | Super Simple Songs,28M views,1 year ago,2:23
Walking In The Forest | Kids Songs | Super Simple Songs,23M views,1 year ago,4:12
What’s Your Favorite Flavor Of Ice Cream? | Kids Songs | Super Simple Songs,11M views,1 year ago,1:36
With My Heart  | + More Kids Songs | Super Simple Songs,8.1M views,1 year ago,29:25:00
Open Shut Them #3 | featuring Finny The Shark | Super Simple Songs,29M views,1 year ago,2:22
Sitting On The Potty | Kids Songs | Super Simple Songs,23M views,1 year ago,2:04
Where Is Baby? | Kids Songs | Super Simple Songs,63M views,1 year ago,3:13
The More We Get Together | Kids Songs | Super Simple Songs,20M views,1 year ago,1:50
"Peekaboo, I Love You | Kids Songs | Super Simple Songs",43M views,2 years ago,1:29
The Jellyfish | Kids Songs | Super Simple Songs,13M views,2 years ago,1:51
Driving In My Car | Kids Songs | Super Simple Songs,26M views,2 years ago,2:25
With My Heart | Kids Songs | Super Simple Songs,21M views,2 years ago,1:57
When The Band Comes Marching In | + More Kids Songs | Super Simple Songs,9.5M views,2 years ago,31:08:00
Head Shoulders Knees And Toes (2019) | Noodle & Pals | Super Simple Songs,33M views,2 years ago,1:46
Six In The Bed | Kids Songs | Super Simple Songs,35M views,2 years ago,1:40
The Wheels On The Bus (2019) | Nursery Rhymes | Super Simple Songs,78M views,2 years ago,2:33
The Bees Go Buzzing | + More Kids Songs & Nursery Rhymes,6.8M views,2 years ago,46:55:00
Skidamarink A Dink A Dink | Nursery Rhyme | Super Simple Songs,91M views,2 years ago,2:26
If You’re Happy And You Know It | Kids Songs | Super Simple Songs,358M views,2 years ago,1:38
The Toilet Song by The Wiggles | Animation by Super Simple Songs,15M views,2 years ago,2:41
Tobee Meets The Wiggles | Sing Along With Tobee | Do The Propeller,2.1M views,2 years ago,6:30
Get Ready for Wiggles Week with Super Simple!,416K views,2 years ago,1:27
Here Is The Beehive  | + More Kids Songs | Super Simple Songs,10M views,2 years ago,36:32:00
Open Shut Them | featuring Noodle & Pals | Super Simple Songs,34M views,2 years ago,2:31
Santa's On His Way | Christmas Song for Kids | Super Simple Songs,22M views,2 years ago,3:05
If You’re Happy And You Know It Shout Hoo-ray | Super Simple Songs,51M views,2 years ago,1:38
Santa Shark - Featuring Finny The Shark | Baby Shark Christmas,10M views,2 years ago,33:17:00
What’s This? What’s That? | Kids Songs | Super Simple Songs,53M views,2 years ago,1:46
Santa Shark | Baby Shark Christmas Song featuring Finny The Shark,31M views,2 years ago,2:43
Peekaboo Christmas | Kids Songs | Super Simple Songs,23M views,2 years ago,1:34
Where Is Thumbkin? | featuring Noodle & Pals | Super Simple Songs,31M views,2 years ago,2:01
Pass The Beanbag | featuring Noodle & Pals | Super Simple Songs,41M views,2 years ago,3:01
Red Yellow Green Blue | + More Kids Songs | Super Simple Songs,11M views,2 years ago,52:00:00
Baby Shark Songs & Dance | Super Simple Songs,8.1M views,2 years ago,12:13
Do You Like Broccoli Ice Cream? | featuring The Super Simple Puppets | Super Simple Songs,33M views,2 years ago,2:33
The Ants Go Marching #2 | featuring The Bumble Nums | Super Simple Songs,83M views,2 years ago,4:39
Down By The Spooky Bay | + More Halloween Songs for Kids | Super Simple Songs,12M views,2 years ago,38:50:00
Peekaboo Halloween | Kids Songs | Super Simple Songs,37M views,2 years ago,1:33
The Bees Go Buzzing | Kids Songs | Super Simple Songs,78M views,2 years ago,4:43
