Video Title,Number of Viewers,Video posting date,Video Length
Appu Puzzle Contest,"2,104 views","Mar 27, 2021",0:46
Things I Love To Do Songs | 4K | Appu Series,"83,535 views","Mar 2, 2020",31:18
Safety Rules Songs | 4K | Appu Series,"67,092 views","Feb 29, 2020",34:24
Bug Songs | 4K | Appu Series,"78,894 views","Feb 28, 2020",23:55
Bird Songs Vol 2| 4K | Appu Series,"59,443 views","Feb 27, 2020",33:01
I Love Watching Birds | Things I Love To Do Songs | 4K | Appu Series,"16,353 views","Feb 25, 2020",2:12
I Love To Write | Things I Love To Do Songs | 4K | Appu Series,"20,882 views","Feb 24, 2020",2:21
I Love To Skate | Things I Love To Do Songs | 4K | Appu Series,"20,728 views","Feb 21, 2020",1:55
I Love To Read | Things I Love To Do Songs | 4K | Appu Series,"12,282 views","Feb 20, 2020",2:51
I Love To Play | Things I Love To Do Songs | 4K | Appu Series,"21,593 views","Feb 19, 2020",2:13
I Love To Paint | Things I Love To Do Songs | 4K | Appu Series,"19,443 views","Feb 18, 2020",2:14
I Love To Hike | Things I Love To Do Songs | 4K | Appu Series,"18,893 views","Feb 17, 2020",2:14
I Love To Dance | Things I Love To Do Songs | 4K | Appu Series,"17,623 views","Feb 16, 2020",2:11
I Love To Bake | Things I Love To Do Songs | 4K | Appu Series,"18,010 views","Feb 15, 2020",2:04
Songs on Learning Science | 4K | Appu Series,"66,478 views","Mar 1, 2020",29:39
I Love Music | Things I Love To Do Songs | 4K | Appu Series,"28,780 views","Feb 14, 2020",0:06
I Love Gardening | Things I Love To Do Songs | 4K | Appu Series,"104,340 views","Feb 13, 2020",2:52
I Love Birthday Parties | Things I Love To Do Songs | 4K | Appu Series,"17,579 views","Feb 12, 2020",2:48
Bird Songs Vol 1| 4K | Appu Series,"50,654 views","Feb 26, 2020",27:29
I Love Being At A Farm | Things I Love To Do Songs | 4K | Appu Series,"13,514 views","Feb 11, 2020",2:08
Zoo Safety Rules | Safety Rule Songs | 4K | Appu Series,"24,666 views","Feb 10, 2020",3:12
I Love To Travel | Things I Love To Do Songs | 4K | Appu Series,"14,989 views","Feb 23, 2020",2:35
Road Safety Rules | Safety Rule Songs | 4K | Appu Series,"32,543 views","Feb 8, 2020",0:11
Pool Safety Rules | Safety Rule Songs | 4K | Appu Series,"41,562 views","Feb 7, 2020",3:21
Party Safety Rules | Safety Rule Songs | 4K | Appu Series,"30,809 views","Feb 6, 2020",3:14
Park Safety Rules | Safety Rule Songs | 4K | Appu Series,"36,138 views","Feb 5, 2020",0:15
Kitchen Safety Rules | Safety Rule Songs | 4K | Appu Series,"52,265 views","Feb 4, 2020",3:53
