Video Title,Number of Viewers,Video posting date,Video Length
Helping Mommy Song - ChuChu TV Baby Nursery Rhymes and Kids Songs,"1,043,193 views","Mar 27, 2021",3:55
Traveling Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"2,830,854 views","Mar 17, 2021",46:14
Restaurant at Home Song - ChuChu TV Baby Nursery Rhymes and Kids Songs,"6,138,882 views","Mar 6, 2021",4:41
Beach at Home Song - ChuChu TV Baby Nursery Rhymes and Kids Songs,"5,845,715 views","Feb 18, 2021",4:04
ChuChu TV Numbers Song - Learn to Count from 1 to 20 | Number Rhymes For Children,"19,206,154 views","Feb 3, 2021",6:34
Yes Yes Bedtime Song + More ChuChu TV 3D Baby Nursery Rhymes and Kids Songs,"33,280,810 views","Jan 23, 2021",48:51
Picnic at Home Song - ChuChu TV Baby Nursery Rhymes and Kids Songs,"5,549,449 views","Dec 23, 2020",4:23
"Deck the Halls, Ha Ha Ha Ha Ha! - Christmas Song For Kids - ChuChu TV Baby Nursery Rhymes for Babies","23,686,423 views","Dec 11, 2020",4:31
Christmas Rain Rain Go Away Song - ChuChu TV Baby Nursery Rhymes and Kids Songs,"15,454,753 views","Dec 5, 2020",3:36
The Humpty Dumpty Game - ChuChu TV Baby Nursery Rhymes & Kids Songs,"4,027,045 views","Nov 28, 2020",3:47
Wheels on the Bus Song - Baby Starts Crying + More ChuChu TV 3D Baby Nursery Rhymes and Kids Songs,"22,705,400 views","Nov 21, 2020",48:15
Movie at Home Song - ChuChu TV Baby Nursery Rhymes & Kids Songs,"17,320,572 views","Nov 14, 2020",4:03
Traveling Song - ChuChu TV Baby Nursery Rhymes & Kids Songs,"26,629,003 views","Nov 7, 2020",6:08
First Day of School Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"12,658,418 views","Nov 3, 2020",31:24
Yes Yes Bedtime Song - ChuChu TV Baby Nursery Rhymes & Kids Songs,"16,043,067 views","Oct 28, 2020",6:39
First Day of School Song - ChuChu TV Baby Nursery Rhymes & Kids Songs,"18,450,690 views","Oct 24, 2020",5:45
Rain Rain Go Away Halloween🎃 Song with Babies + More ChuChu TV Nursery Rhymes & Kids Songs,"9,707,915 views","Oct 21, 2020",39:51
Baby Goes Fishing Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"6,326,505 views","Oct 17, 2020",35:18
Rain Rain Go Away Halloween🎃 Song with Babies - ChuChu TV Nursery Rhymes & Kids Songs,"5,749,761 views","Oct 13, 2020",3:40
*NEW* Baby Shoes Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"8,708,789 views","Oct 10, 2020",33:27
Yes Yes Stay Safe Song (Healthy Habits) + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"9,437,217 views","Oct 3, 2020",0:20
Baby Shoes Song - ChuChu TV Baby Nursery Rhymes & Kids Songs,"12,627,066 views","Sep 29, 2020",3:43
ChuChu TV Classics - Days of the Week Song | Nursery Rhymes and Kids Songs,"1,832,313 views","Sep 26, 2020",3:29
"Black or White, We All Are One - ChuChu TV Nursery Rhymes & Kids Songs","2,291,083 views","Sep 21, 2020",4:42
ChuChu TV Classics - Months of the Year Song | Nursery Rhymes and Kids Songs,"1,397,710 views","Sep 11, 2020",4:44
Yes Yes Stay Safe Song - @ChuChu TV Nursery Rhymes & Kids Songs,"8,359,369 views","Sep 8, 2020",5:07
ChuChu TV Classics - Five Little Monkeys - The Robot Monkeys | Nursery Rhymes and Kids Songs,"2,197,017 views","Sep 4, 2020",4:39
The Boo Boo Song 2 with Toys + More @ChuChu TV Nursery Rhymes & Kids Songs,"42,997,450 views","Sep 1, 2020",1:04:22
Wheels on the Bus with Farm Animals - ChuChu TV Nursery Rhymes & Kids Songs,"5,262,879 views","Aug 25, 2020",4:07
Rain Rain Go Away Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"4,137,633 views","Aug 20, 2020",42:54
The Boo Boo Song 2 with Toys - ChuChu TV Nursery Rhymes & Kids Songs,"19,484,156 views","Aug 13, 2020",5:51
Safe ways to meet and greet during the Coronavirus Pandemic from ChuChu & Friends - ChuChu TV,"1,992,963 views","Aug 9, 2020",2:02
Baby goes to Old MacDonald’s Farm + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"6,581,419 views","Aug 7, 2020",1:02:37
Baby's First Teeth Song - ChuChu TV Nursery Rhymes & Kids Songs,"2,485,915 views","Jul 28, 2020",3:30
ChuChu TV Classics - Phonics Song with Two Words | Nursery Rhymes and Kids Songs,"187,988,503 views","Jul 24, 2020",4:56
Pat a Cake 2 - Cakes for Occasions - ChuChu TV Nursery Rhymes & Kids Songs,"2,196,652 views","Jul 22, 2020",3:41
Baby goes to Old MacDonald’s Farm - ChuChu TV Nursery Rhymes & Kids Songs,"24,962,873 views","Jul 14, 2020",4:28
ChuChu's Baa Baa Black Sheep - ChuChu TV Nursery Rhymes & Kids Songs,"2,672,827 views","Jul 3, 2020",3:04
Baby's Humpty Dumpty Song + More ChuChu TV Baby Nursery Rhymes & Kids Songs,"12,209,759 views","Jun 30, 2020",1:03:24
Emotions (Feelings) Song - ChuChu TV Nursery Rhymes & Kids Songs,"5,541,873 views","Jun 23, 2020",2:57
