Video Title,Number of Viewers,Video posting date,Video Length
"Peek-A-Poo, Peek-A-Boo! | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children","116,327 views","Apr 3, 2021",1:18
Baby Shark vs Dinosaurs | +Compilation | April Fools Prank | Best Nursery Rhymes for Kids,"404,049 views","Mar 31, 2021",29:52
Robot Vacuum Cleaner Sound | Relaxing video | White noise | @Pinkfong! Baby Friends,"119,912 views","Mar 30, 2021",8:05
2 hours Baby Shark Dance Loop | Baby Shark Non-Stop | Baby Shark Dance Non Stop | +Compilation,"706,038 views","Premiered Mar 28, 2021",2:50:52
Scaredy Cat Yellow Bus | Wheels on the Bus | Car Songs | Pinkfong Baby Shark Car Videos for Children,"129,607 views","Mar 26, 2021",9:13
Yes Yes I Can Wear My Clothes | Good Habits for Children | Pinkfong Songs for Children,"229,325 views","Mar 26, 2021",2:02
Hair dryer Relaxing Sound | Visual ASMR | White noise | @Pinkfong! Baby Friends,"149,266 views","Mar 23, 2021",8:05
Baby Shark Healthy Habit Songs and more | +Compilation | Pinkfong Healthy Habits for Children,"802,784 views","Mar 21, 2021",20:08
[OUT NOW] Baby Shark Car Safety Song | Kia X Pinkfong | Kia Carnival | Pinkfong Songs for Children,"844,077 views","Mar 20, 2021",1:59
Did You See Cheetah’s Pattern? | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,"235,829 views","Mar 19, 2021",1:24
[EXCLUSIVE] Theme Song for Baby Shark's Big Show! | Nickelodeon x Baby Shark,"1,247,315 views","Mar 18, 2021",0:58
[90min] Relaxing nature sounds with Pinkfong and Hogi | Sleep Sounds ASMR | Pinkfong! Baby Friends,"183,993 views","Mar 16, 2021",1:36:06
Tooth Brushing is Fun and more | +Compilation | Good Habits for Kids | Pinkfong Songs for Children,"472,643 views","Mar 14, 2021",13:42
"Toot Toot, Hide and Seek with Shark Family | Baby Shark Story Songs | Pinkfong Songs for Children","10,657,733 views","Mar 13, 2021",5:54
"Knock, Knock! Whose Eggs? | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children","654,103 views","Mar 12, 2021",1:34
Yes Yes I Can Eat By Myself | Yes Yes Vegetable | Good Habit Songs | Pinkfong Songs for Children,"89,456 views","Apr 2, 2021",1:44
Relaxing nature sounds with Pinkfong and Hogi | Sleep Sounds for Baby | @Pinkfong! Baby Friends,"318,326 views","Mar 10, 2021",8:05
Tooth Brushing Is Fun | Good Habits for Children | Pinkfong Songs for Children,"560,927 views","Mar 9, 2021",1:26
[Ongoing Limited Event] Baby Shark | Abyssrium Ver.,"918,543 views","Mar 8, 2021",1:30
First Aid Song-I got a boo boo and more | +Compilation | Safety Songs | Pinkfong Safety Rangers,"6,056,001 views","Mar 7, 2021",10:23
Towers of the World with Baby Shark | Around the World with Baby Shark | Pinkfong Songs for Children,"345,453 views","Mar 6, 2021",1:28
Good Morning Song | Good Habits for Children | Pinkfong Songs for Children,"517,613 views","Mar 2, 2021",1:30
[90 Mins] Rain Sounnd | ASMR | White Noise | Sleep Sound for Baby | @Pinkfong! Baby Friends,"186,337 views","Mar 1, 2021",1:36:06
Doctor I'm Sick! | +Compilation | Ambulance Rescue | Pinkfong Songs for Children,"1,004,826 views","Feb 28, 2021",30:10
Baby Shark World ABC | Around the World with Baby Shark | Pinkfong Songs for Children,"491,910 views","Feb 27, 2021",2:02
Guess the Animal | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,"519,022 views","Feb 26, 2021",1:29
"My Body, My Choice | Protect My Body | I Can Say No | Kids' Safety | Pinkfong Safety Rangers","681,718 views","Feb 23, 2021",1:35
Relaxing sounds of Rain with Pinkfong and Hogi | Sleep Sounds for Baby | Pinkfong! Baby Friends,"418,859 views","Feb 23, 2021",8:05
Police Car Rescue Team Special | +Compilation | Police Car Special | Pinkfong Songs for Children,"725,168 views","Feb 21, 2021",30:30
Welcome to My House | Around the World with Baby Shark | Pinkfong Songs for Children,"394,449 views","Feb 20, 2021",1:42
Savanna Night Tour | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,"511,942 views","Feb 19, 2021",1:38
"My Body, My Choice | Protect My Body | I Can Say No | Kids' Safety | Pinkfong Safety Rangers","681,737 views","Feb 23, 2021",1:35
Relaxing sounds of Rain with Pinkfong and Hogi | Sleep Sounds for Baby | Pinkfong! Baby Friends,"418,871 views","Feb 23, 2021",8:05
Police Car Rescue Team Special | +Compilation | Police Car Special | Pinkfong Songs for Children,"725,183 views","Feb 21, 2021",30:30
Welcome to My House | Around the World with Baby Shark | Pinkfong Songs for Children,"394,457 views","Feb 20, 2021",1:42
Savanna Night Tour | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,"511,946 views","Feb 19, 2021",1:38
Lion Lessons | Animal Songs | Learn Animals | Pinkfong Animal Songs for Children,"2,036,349 views","Feb 14, 2021",1:24
Valentine Sharks and more | +Compilation | Best Love Songs | Pinkfong Songs for Children,"1,497,606 views","Feb 13, 2021",1:09
Camping Safety Song | Safety Song | Stay Safe | Pinkfong Safety Rangers,"652,820 views","Feb 9, 2021",1:33
Valentine Sharks and more | +Compilation | Baby Shark Love Songs | Pinkfong Songs for Children,"1,033,404 views","Feb 7, 2021",29:15
Oceans and Continents with Baby Shark | Travel with Baby Shark | Pinkfong Songs for Children,"370,290 views","Feb 6, 2021",1:44
Jungle Music Festival | Animal Songs | Learn Animals | Pinkfong Songs for Children,"527,743 views","Feb 5, 2021",2:01
Will You Marry Me and more | +Compilation | Love Songs | Animal Songs | Pinkfong Songs for Children,"997,233 views","Jan 31, 2021",30:00
[Watch Now] Baby Shark Dance 7.8 Billion Views Special | Most Viewed Video on YouTube,"1,533,643 views","Premiered Jan 29, 2021",2:16
A Lazy Sloth | Animal Songs | Best Kids Songs | Pinkfong Songs for Children,"650,642 views","Jan 26, 2021",1:09
The World Festival with Baby Shark | Around the World with Baby Shark | Pinkfong Songs for Children,"677,407 views","Jan 23, 2021",1:36
[Now on Netflix] Pinkfong & Baby Shark's Space Adventure | Baby Shark Trailer | Children's Animation,"1,009,413 views","Jan 21, 2021",0:28
Turn off the Tap | Save the Water | Safe the Environment | Pinkfong Songs for Children,"2,691,822 views","Jan 19, 2021",2:23
[App Trailer] Baby Shark Jigsaw Puzzle Fun,"765,141 views","Jan 18, 2021",0:53
Dance with COTOMO Cats and more | +Compilation | For Kids | Pinkfong Songs for Children,"1,656,837 views","Jan 17, 2021",5:52
World Dance with Baby Shark | Around the World with Baby Shark | Pinkfong Songs for Children,"579,439 views","Jan 16, 2021",1:49
Indoor Safety Song | Shopping Mall Safety | Stay Safe | Pinkfong Safety Rangers,"771,917 views","Jan 15, 2021",1:42
The Mysterious Holes,"2,388,654 views","Jan 14, 2021",11:29
[App Trailer] Baby Shark Run Away | 🎮 Play Now! | Baby Shark Game,"650,090 views","Jan 13, 2021",0:53
[App Trailer] Pinkfong Dino World,"781,046 views","Jan 11, 2021",1:10
Baby Shark Dance and more | +Compilation | Baby Shark Workout | Pinkfong Songs for Children,"2,145,920 views","Jan 10, 2021",1:04:21
Love Is All Around the World | Around the World with Baby Shark | Pinkfong Songs for Children,"955,745 views","Jan 9, 2021",1:28
Tummy Ache Song | Pinkfong Got Tummy Ache! | Pinkfong Safety Songs | Pinkfong Songs for Children,"628,602 views","Jan 8, 2021",1:27
Bath Time,"1,546,495 views","Jan 7, 2021",11:29
Banana Caper,"951,426 views","Jan 7, 2021",11:43
[New Features] Pinkfong Dino World,"326,952 views","Jan 7, 2021",0:59
Baby Shark Dance and more | +Compilation | Happy New Year | Pinkfong Songs for Children,"2,634,117 views","Jan 3, 2021",41:40
Say Hello and Goodbye | Around the World with Baby Shark | Pinkfong Songs for Children,"535,600 views","Jan 2, 2021",1:24
Welcome to My House! | The World Song | Cotomo Cats | Pinkfong Songs for Children,"560,752 views","Jan 1, 2021",1:47
Batter Up,"1,195,700 views","Dec 31, 2020",11:55
Writer's Block,"1,242,267 views","Dec 31, 2020",11:48
No More Single-Use Plastic! | Pinkfong x Eco Drive | Reduce Plastic | Pinkfong Songs for Children,"697,378 views","Dec 29, 2020",1:34
Baby Shark Dance and more | Best Songs of the Year | +Compilation | Pinkfong Songs for Children,"2,013,047 views","Dec 27, 2020",1:23:11
The World Food Cook-off | Around the World with Baby Shark | Pinkfong Songs for Children,"838,528 views","Dec 26, 2020",1:43
Baby Shark's Christmas and more | +Compilation | Baby Shark Song | Pinkfong Songs for children,"708,623 views","Dec 25, 2020",32:21
Bumbleberry Day,"1,709,632 views","Dec 24, 2020",11:45
Puzzled Poki,"1,075,236 views","Dec 24, 2020",1:09
Christmas Sharks and more | +Compilation | Baby Shark Medley | Pinkfong Songs for Children,"1,365,448 views","Dec 23, 2020",1:02:50
The Red Nosed Baby Shark and more | +Compilation | Baby Shark Song | Pinkfong Songs for Children,"1,164,789 views","Dec 22, 2020",31:11
[Coming Soon] Pinkfong 🍼Baby Friends | 🎄Christmas ASMR | Baby Lullabies | For Babies,"175,121 views","Dec 22, 2020",1:09
The Red Nosed Baby Shark | Christmas Song | Baby Shark Song | Pinkfong Songs for Children,"1,515,182 views","Dec 19, 2020",2:14
Friendship Fix-it,"2,383,758 views","Dec 17, 2020",11:46
Poki Needs Help,"2,705,888 views","Dec 17, 2020",11:37
Christmas Sharks Spot the Difference | Christmas Song | Baby Shark | Pinkfong Songs for Children,"949,755 views","Dec 15, 2020",1:55
Baby Shark and the Snowman's Carol and more | +Compilation | Pinkfong Songs for Children,"981,438 views","Dec 13, 2020",31:11
Fishmas Special | Baby Shark's Big Fishmas | Baby Shark Music Video | Christmas Sharks | Nickelodeon,"5,876,337 views","Dec 13, 2020",3:39
"Knock, knock, Baby Shark's Christmas | Baby Shark Song | Pinkfong Songs for Children","979,084 views","Dec 12, 2020",2:28
Christmas Sharks Hide'n Seek | Christmas Story | Christmas Song | Pinkfong Songs for Children,"4,192,413 views","Dec 11, 2020",11:29
"Good Night, Jojo","3,090,249 views","Dec 10, 2020",11:47
Jungle Bells and more | +Compilation | Christmas Songs | Best Carols | Pinkfong Songs for Children,"1,029,542 views","Dec 6, 2020",31:11
Enjoy Awesome K-Food with Baby Shark | Korean Food | Pinkfong Songs for Children,"526,651 views","Dec 6, 2020",2:34
Baby Shark and the Snowman's Carol | Baby Shark Song | Pinkfong Songs for Children,"1,839,104 views","Dec 5, 2020",2:49
