Video Title,Number of Viewers,Video posting date,Video Length
Let's Go To The Sea! | Kids Songs About Sea Animals & Water,"360,293 views","Apr 1, 2021",29:36
As Quiet As A Mouse | + More Kids Songs | Super Simple Songs,"738,980 views","Mar 25, 2021",1:03:01
The Month's Chant | + More Kids Songs | Super Simple Songs,"746,506 views","Mar 11, 2021",31:41
As Quiet As A Mouse | Kids Songs | Super Simple Songs,"7,064,320 views","Mar 4, 2021",2:25
The Months Chant | ft. The Super Simple Puppets | Super Simple Songs,"5,746,585 views","Feb 18, 2021",2:20
The Alphabet Swing | + More Kids Songs | Super Simple Songs,"4,228,161 views","Feb 11, 2021",1:00:19
"The Wheels On The Bus + More | ft. @Mr. Monkey, Monkey Mechanic | Super Simple Songs","2,435,098 views","Feb 4, 2021",30:32
Three Little Kittens | + More Nursery Rhymes & Kids Songs | Super Simple Songs,"5,534,058 views","Jan 21, 2021",1:01:39
The Alphabet Swing | ABC Song for Kids | Super Simple Songs,"7,706,840 views","Jan 14, 2021",1:44
Best Kids' Songs From Super Simple Songs | Best of 2020,"5,212,560 views","Dec 24, 2020",1:02:53
Let's Count To 100 + More | ft. @Finny The Shark | Super Simple Songs,"2,439,250 views","Dec 17, 2020",37:01
Five Little Elves | + More Christmas Songs for Kids | Super Simple Songs,"6,929,572 views","Dec 10, 2020",42:33
Three Little Kittens | Kids Songs | Super Simple Songs,"5,363,157 views","Dec 3, 2020",3:01
"Hello Reindeer, Goodbye Snowman | ft. Noodle & Pals | Super Simple Songs","4,292,100 views","Nov 26, 2020",1:42
This Is A Happy Face | ft. Noodle & Pals | Super Simple Songs,"2,552,926 views","Mar 18, 2021",5:41
"The Wheels On The Bus | @Mr. Monkey, Monkey Mechanic version","3,273,440 views","Nov 19, 2020",2:27
Me! (featuring Noodle & Pals) | + More Kids Songs | Super Simple Songs,"13,587,629 views","Nov 5, 2020",1:00:01
"Peekaboo, Thank You! | Kids Song | Super Simple Songs","8,236,814 views","Oct 29, 2020",1:29
Once I Caught A Fish Alive | + More Kids Songs | Super Simple Songs,"4,037,977 views","Oct 22, 2020",38:11
"Red Light, Green Light | @Carl's Car Wash Version | Super Simple Songs","2,064,400 views","Oct 15, 2020",1:56
Twinkle Twinkle Little Star (Bumble Nums Version) + More | Super Simple Songs,"3,164,289 views","Oct 1, 2020",1:01:28
"Hello, Trick Or Treat? | Halloween Song for Kids | Super Simple Songs","12,611,025 views","Sep 24, 2020",2:41
Knock Knock Trick Or Treat #2 | featuring Super Simple Puppets | Halloween Song for Kids,"12,680,528 views","Sep 17, 2020",4:55
Five Little Ghosts | Halloween Song for Kids | Super Simple Songs,"21,347,142 views","Sep 10, 2020",2:11
Me! | featuring Noodle & Pals | Super Simple Songs,"8,264,365 views","Sep 3, 2020",3:25
The Wheels On The Bus | ft. Carl's Car Wash | Super Simple Songs,"10,825,356 views","Aug 27, 2020",2:31
Everything Is Going To Be Alright | Super Simple Songs,"16,278,670 views","Aug 20, 2020",3:13
Let's Go For A Walk Outside | Super Simple Songs,"20,617,726 views","Aug 13, 2020",4:19
Move! | Dance Song for Kids | Super Simple Songs,"16,881,312 views","Aug 6, 2020",3:22
"Star Light, Star Bright | + More Kids Songs | Super Simple Songs","4,840,884 views","Jul 30, 2020",34:06
Five Little Elves | Christmas Song For Kids | Super Simple Songs,"7,711,765 views","Nov 12, 2020",2:35
Twinkle Twinkle Little Star (Bumble Nums Version) | Super Simple Songs,"3,446,288 views","Jul 16, 2020",1:47
Finny The Shark | Episode 1 | Play Date | @Finny The Shark,"6,271,347 views","Jul 8, 2020",11:35
Pizza Party + More | Super Simple Songs,"11,527,852 views","Jul 2, 2020",33:55
"Hello, Trick Or Treat? | + More Halloween Songs for Kids | Super Simple Songs","5,688,179 views","Oct 8, 2020",50:32
The Ice Cream Song | + More Kids Songs | Super Simple Songs,"7,477,911 views","Jun 29, 2020",55:40
"See You Later, Alligator - Featuring Super Simple Puppets | Super Simple Songs","3,448,008 views","Jun 25, 2020",0:47
Once I Caught A Fish Alive | Super Simple Songs,"5,801,431 views","Jun 18, 2020",1:31
My Yellow Car | Super Simple Songs,"46,660,618 views","Jun 11, 2020",2:58
Butterfly Ladybug Bumblebee | + More Kids Songs | Super Simple Songs,"8,218,062 views","Jun 4, 2020",34:22
"Star Light, Star Bright | Kids Songs | Super Simple Songs","11,917,440 views","May 28, 2020",3:27
Let's Count To 100 | ft. Finny the Shark | Super Simple Songs,"12,276,210 views","May 14, 2020",3:46
Pizza Party | Super Simple Songs,"42,748,430 views","Apr 30, 2020",2:11
What’s Your Favorite Flavor Of Ice Cream? | + More Kids Songs | Super Simple Songs,"6,814,735 views","Apr 23, 2020",32:57
Butterfly Ladybug Bumblebee | Super Simple Songs,"29,972,200 views","Apr 16, 2020",3:09
And The Green Grass Grew | Kids Songs | Super Simple Songs,"15,784,452 views","Apr 2, 2020",2:35
Songs About Food | Kids Songs Collection | Super Simple Songs,"4,866,196 views","Feb 27, 2020",31:29
Super Simple Songs featuring the Super Simple Monsters!,"9,800,852 views","Feb 20, 2020",32:12
What's Your Name? (Super Simple Puppets version) | Super Simple Songs,"18,937,091 views","Feb 6, 2020",1:33
Bedtime Routine Songs | Kids Songs | Super Simple Songs,"3,230,211 views","Feb 6, 2020",42:21
Peekaboo I Love You | + More Kids Songs | Super Simple Songs,"13,102,303 views","Jan 30, 2020",30:35
My Happy Song | + More Kids Songs | Super Simple Songs,"23,278,826 views","Jan 16, 2020",33:09
Pop The Bubbles | + More Kids Songs | Super Simple Songs,"8,168,323 views","Jan 23, 2020",30:59
I Love The Mountains | + More Kids Songs | Super Simple Songs,"9,345,954 views","Jan 9, 2020",31:04
The Ants Go Marching #2 | + More Kids Songs | Super Simple Songs,"6,776,107 views","Jan 2, 2020",40:05
What's This? What's That? | + More Kids Songs | Super Simple Songs,"13,035,157 views","Dec 26, 2019",32:15
Super Simple Fireplace 😁 | Crackling Fireplace with Christmas Music | 3 Hours!,"2,698,934 views","Dec 22, 2019",3:00:00
Head Shoulders Knees And Toes | + More Kids Songs | Featuring Noodle & Pals,"19,087,576 views","Dec 19, 2019",34:11
Silent Night | Christmas Song For Kids | Super Simple Songs,"13,214,787 views","Dec 9, 2019",3:20
The Wheels On The Bus - featuring Noodle & Pals | + More Kids Songs from Super Simple Songs,"37,603,407 views","Dec 5, 2019",30:28
Jingle Bells | Christmas Song | Super Simple Songs,"5,499,736 views","Dec 2, 2019",2:35
